drug_id,indication,target,has_positive_efficacy_phrase,has_severe_toxicity_phrase,text_embed_score,molecular_weight,logP,market_size_million,competition_level
D01776,breast_cancer,EGFR,0,0,0.482,437.5,1.75,37.492,11
D01777,lung_cancer,EGFR,0,1,0.613,507.7,5.01,36.792,10
D01778,ovarian_cancer,BRAF,0,0,0.68,332.8,2.97,5.264,13
D01779,prostate_cancer,mTOR,1,1,0.819,531.2,3.1,8.853,3
D01780,ovarian_cancer,BRAF,0,0,0.873,470.9,1.96,8.002,5
D01781,melanoma,ALK,1,1,0.748,498.6,2.39,6.253,4
D01782,ovarian_cancer,mTOR,1,0,0.413,304.8,3.96,5.194,15
D01783,prostate_cancer,PD1,1,0,0.708,556.7,3.04,13.887,7
D01784,melanoma,PD1,0,0,0.498,498.3,3.86,6.805,7
D01785,lung_cancer,ALK,1,1,0.447,497.9,3.72,34.222,9
D01786,ovarian_cancer,EGFR,1,0,0.724,456.2,4.05,6.85,13
D01787,lung_cancer,HER2,1,1,0.713,505.7,3.16,49.279,1
D01788,prostate_cancer,mTOR,1,1,0.487,378.4,3.23,12.749,18
D01789,lung_cancer,EGFR,1,0,0.706,413.4,2.49,42.833,6
D01790,breast_cancer,EGFR,1,0,0.428,414.8,2.15,32.75,2
D01791,colon_cancer,EGFR,1,0,0.728,650.0,4.07,26.062,11
D01792,prostate_cancer,BRAF,1,0,0.853,633.6,2.02,11.282,12
D01793,ovarian_cancer,EGFR,1,1,0.819,485.7,1.97,7.018,3
D01794,breast_cancer,BRAF,0,1,0.442,424.3,2.27,28.868,9
D01795,ovarian_cancer,VEGF,1,0,0.718,579.2,2.68,8.053,1
D01796,colon_cancer,PD1,1,0,0.571,565.5,3.48,23.523,3
D01797,ovarian_cancer,mTOR,0,0,0.859,664.3,1.82,4.095,3
D01798,breast_cancer,PD1,0,0,0.794,580.7,3.92,24.351,12
D01799,melanoma,EGFR,0,1,0.819,402.1,3.81,8.212,7
D01800,prostate_cancer,BRAF,0,1,0.427,506.9,2.82,12.353,6
D01801,colon_cancer,VEGF,1,1,0.513,414.1,2.42,17.824,7
D01802,breast_cancer,PD1,1,1,0.532,644.0,3.0,29.798,19
D01803,colon_cancer,PD1,1,0,0.418,542.6,2.37,27.521,13
D01804,breast_cancer,ALK,0,1,0.573,417.6,3.87,36.218,10
D01805,breast_cancer,PD1,1,0,0.657,372.0,2.67,24.214,7
D01806,melanoma,PD1,0,0,0.659,482.7,3.09,8.156,16
D01807,breast_cancer,mTOR,1,1,0.682,465.7,3.32,33.166,2
D01808,colon_cancer,HER2,0,1,0.835,535.4,3.59,15.118,14
D01809,melanoma,PD1,1,0,0.494,401.1,2.77,6.79,6
D01810,melanoma,ALK,0,0,0.62,575.6,3.72,8.083,19
D01811,ovarian_cancer,HER2,1,1,0.637,370.2,3.28,4.462,12
D01812,ovarian_cancer,PD1,1,1,0.55,321.7,3.04,8.825,8
D01813,ovarian_cancer,EGFR,1,1,0.787,631.8,2.24,8.724,13
D01814,ovarian_cancer,EGFR,0,0,0.861,413.3,3.61,8.32,17
D01815,breast_cancer,ALK,0,0,0.732,356.6,2.49,35.771,2
D01816,lung_cancer,PD1,0,1,0.629,527.7,2.49,29.134,1
D01817,prostate_cancer,VEGF,0,0,0.551,461.1,3.6,6.723,8
D01818,breast_cancer,mTOR,0,0,0.477,513.7,3.21,31.107,12
D01819,lung_cancer,mTOR,0,1,0.45,452.9,3.3,38.746,13
D01820,prostate_cancer,VEGF,1,1,0.816,470.1,3.37,12.356,4
D01821,melanoma,VEGF,1,0,0.6,440.2,2.85,6.636,10
D01822,prostate_cancer,HER2,1,1,0.667,400.8,2.97,9.122,19
D01823,lung_cancer,VEGF,0,0,0.585,415.1,2.11,33.496,1
D01824,ovarian_cancer,ALK,1,0,0.723,500.7,3.17,3.828,7
D01825,lung_cancer,VEGF,1,1,0.446,542.6,2.66,34.602,6
D01826,melanoma,VEGF,1,1,0.593,512.6,3.44,9.106,2
D01827,colon_cancer,mTOR,0,0,0.599,515.6,2.34,22.76,4
D01828,melanoma,BRAF,0,1,0.743,491.9,3.29,5.507,13
D01829,lung_cancer,VEGF,1,0,0.687,480.6,1.33,34.6,15
D01830,lung_cancer,mTOR,1,1,0.786,492.8,4.77,32.574,9
D01831,prostate_cancer,HER2,0,1,0.651,451.2,2.42,13.029,11
D01832,ovarian_cancer,PD1,0,0,0.89,509.9,3.25,6.19,13
D01833,prostate_cancer,EGFR,0,0,0.569,575.4,1.99,14.408,19
D01834,colon_cancer,VEGF,1,1,0.424,538.5,3.47,19.226,4
D01835,melanoma,mTOR,1,0,0.845,468.6,3.27,8.432,9
D01836,melanoma,PD1,1,0,0.671,562.4,3.7,5.894,12
D01837,melanoma,EGFR,1,1,0.549,388.6,3.66,5.178,4
D01838,colon_cancer,HER2,0,1,0.524,474.8,3.06,16.261,4
D01839,breast_cancer,HER2,0,1,0.616,485.9,2.88,25.494,15
D01840,prostate_cancer,ALK,0,1,0.42,575.3,2.93,8.939,2
D01841,breast_cancer,ALK,0,1,0.656,390.4,2.69,34.508,11
D01842,prostate_cancer,HER2,1,1,0.6,494.3,3.98,7.655,9
D01843,prostate_cancer,HER2,0,1,0.883,528.2,2.32,13.143,19
D01844,colon_cancer,PD1,0,0,0.587,678.8,3.21,22.094,14
D01845,colon_cancer,HER2,0,1,0.651,582.0,2.88,15.686,13
D01846,breast_cancer,HER2,1,1,0.403,522.7,3.67,24.143,14
D01847,prostate_cancer,VEGF,1,1,0.631,577.5,3.85,13.112,11
D01848,lung_cancer,VEGF,0,0,0.755,549.8,2.75,30.526,20
D01849,colon_cancer,HER2,1,1,0.717,434.3,3.27,19.931,13
D01850,melanoma,ALK,0,1,0.57,554.7,2.82,6.732,15
D01851,breast_cancer,mTOR,1,0,0.666,565.2,4.16,23.4,13
D01852,colon_cancer,mTOR,0,0,0.716,406.7,2.33,23.42,12
D01853,lung_cancer,VEGF,1,1,0.546,468.8,3.25,32.883,15
D01854,lung_cancer,VEGF,0,1,0.682,438.0,4.08,35.385,1
D01855,colon_cancer,ALK,1,0,0.588,513.9,3.03,23.064,13
D01856,ovarian_cancer,BRAF,0,0,0.598,365.1,1.95,4.268,4
D01857,ovarian_cancer,PD1,0,0,0.783,502.5,1.29,8.906,13
D01858,ovarian_cancer,mTOR,1,0,0.609,561.0,2.87,6.595,11
D01859,colon_cancer,HER2,0,1,0.651,739.4,4.85,22.988,8
D01860,melanoma,mTOR,1,1,0.813,465.5,2.91,7.247,6
D01861,melanoma,PD1,0,1,0.781,559.6,4.36,8.281,4
D01862,melanoma,ALK,1,1,0.605,349.0,1.57,8.182,20
D01863,breast_cancer,VEGF,0,1,0.873,430.2,3.47,26.5,8
D01864,breast_cancer,ALK,1,0,0.876,519.7,3.86,20.454,20
D01865,prostate_cancer,mTOR,0,0,0.629,384.0,1.15,12.508,8
D01866,breast_cancer,mTOR,0,1,0.466,548.6,2.34,21.296,1
D01867,breast_cancer,ALK,1,1,0.523,318.5,3.12,32.065,8
D01868,breast_cancer,mTOR,0,1,0.836,543.5,2.9,38.178,8
D01869,melanoma,HER2,0,0,0.774,443.4,2.87,8.41,14
D01870,ovarian_cancer,mTOR,1,0,0.792,450.4,1.92,8.745,18
D01871,lung_cancer,HER2,0,1,0.64,422.8,3.42,43.151,10
D01872,melanoma,BRAF,0,1,0.6,505.7,3.13,9.637,15
D01873,melanoma,BRAF,0,0,0.473,400.4,2.85,6.312,19
D01874,lung_cancer,HER2,0,1,0.606,305.8,3.14,33.496,8
D01875,melanoma,VEGF,1,0,0.565,594.3,1.82,8.469,15
D01876,prostate_cancer,mTOR,0,1,0.571,433.1,3.26,12.203,11
D01877,melanoma,HER2,1,1,0.697,580.2,2.64,8.807,5
D01878,ovarian_cancer,PD1,0,0,0.84,424.6,1.42,6.381,10
D01879,colon_cancer,HER2,0,1,0.638,488.3,4.63,21.598,10
D01880,breast_cancer,HER2,0,0,0.704,502.2,2.98,37.183,9
D01881,prostate_cancer,VEGF,0,0,0.692,505.8,2.99,7.335,1
D01882,colon_cancer,PD1,1,1,0.709,415.0,3.66,17.556,12
D01883,prostate_cancer,VEGF,1,1,0.589,498.1,3.01,14.335,6
D01884,ovarian_cancer,mTOR,0,1,0.849,402.0,4.04,3.085,3
D01885,colon_cancer,VEGF,1,0,0.512,533.2,2.56,19.175,4
D01886,prostate_cancer,VEGF,1,1,0.63,560.1,2.6,14.214,1
D01887,prostate_cancer,BRAF,0,0,0.582,417.4,2.39,6.296,4
D01888,colon_cancer,ALK,0,1,0.677,338.3,3.38,23.021,18
D01889,lung_cancer,BRAF,0,1,0.683,333.5,2.02,31.199,9
D01890,prostate_cancer,VEGF,0,0,0.745,314.0,2.93,10.105,2
D01891,ovarian_cancer,PD1,1,0,0.772,468.0,2.74,7.4,3
D01892,breast_cancer,ALK,1,0,0.504,396.6,2.06,24.879,19
D01893,melanoma,mTOR,0,0,0.559,517.1,2.56,8.17,7
D01894,melanoma,EGFR,1,0,0.638,505.3,2.29,5.499,19
D01895,breast_cancer,ALK,1,1,0.685,494.5,4.04,31.634,4
D01896,prostate_cancer,mTOR,0,1,0.896,526.9,2.67,8.266,14
D01897,ovarian_cancer,PD1,1,0,0.564,500.6,2.81,5.9,10
D01898,prostate_cancer,PD1,1,0,0.571,480.6,2.74,12.101,17
D01899,colon_cancer,HER2,1,0,0.889,466.9,3.17,29.185,16
D01900,lung_cancer,PD1,1,1,0.482,400.5,2.19,26.639,14
D01901,prostate_cancer,PD1,0,1,0.571,368.9,1.72,12.183,6
D01902,breast_cancer,BRAF,0,0,0.507,382.6,3.13,30.036,11
D01903,ovarian_cancer,mTOR,0,1,0.864,408.6,3.41,4.262,5
D01904,colon_cancer,VEGF,0,1,0.793,482.8,1.43,27.785,20
D01905,prostate_cancer,VEGF,1,1,0.727,532.4,3.65,13.099,9
D01906,breast_cancer,PD1,1,1,0.585,400.5,3.34,26.125,12
D01907,prostate_cancer,PD1,1,1,0.613,411.5,3.08,9.542,14
D01908,lung_cancer,BRAF,1,0,0.884,378.8,1.57,33.84,5
D01909,melanoma,BRAF,1,0,0.809,449.4,2.9,6.011,9
D01910,colon_cancer,BRAF,1,0,0.561,448.2,2.05,26.864,11
D01911,ovarian_cancer,ALK,0,0,0.709,448.0,3.22,5.641,9
D01912,lung_cancer,EGFR,0,0,0.563,476.4,3.15,36.992,19
D01913,melanoma,EGFR,1,1,0.525,426.4,3.94,9.935,19
D01914,melanoma,EGFR,0,0,0.72,385.9,3.39,6.38,12
D01915,melanoma,PD1,0,1,0.467,574.6,3.38,8.749,11
D01916,prostate_cancer,mTOR,0,0,0.695,463.8,2.58,11.167,18
D01917,lung_cancer,mTOR,0,1,0.686,562.9,1.86,44.07,9
D01918,ovarian_cancer,ALK,1,0,0.47,402.4,2.68,7.619,11
D01919,colon_cancer,BRAF,1,0,0.492,579.0,3.3,22.025,15
D01920,colon_cancer,PD1,0,1,0.528,402.6,2.75,26.215,1
D01921,breast_cancer,EGFR,1,1,0.598,430.9,2.43,29.727,2
D01922,ovarian_cancer,EGFR,1,0,0.683,558.3,1.9,8.974,17
D01923,colon_cancer,BRAF,1,1,0.687,608.7,3.66,24.516,3
D01924,ovarian_cancer,EGFR,0,0,0.799,567.3,2.63,8.078,3
D01925,ovarian_cancer,mTOR,0,0,0.784,468.0,1.85,5.586,9
D01926,melanoma,mTOR,0,1,0.437,438.0,3.39,8.239,11
D01927,melanoma,ALK,1,0,0.601,583.7,2.11,6.469,20
D01928,melanoma,EGFR,0,0,0.561,450.8,2.88,5.752,8
D01929,ovarian_cancer,HER2,1,1,0.727,368.3,3.47,4.202,19
D01930,colon_cancer,HER2,0,0,0.786,422.1,2.84,18.092,6
D01931,lung_cancer,EGFR,0,0,0.67,443.8,2.37,48.867,11
D01932,colon_cancer,VEGF,0,0,0.551,479.4,2.83,21.364,9
D01933,breast_cancer,VEGF,1,0,0.469,450.3,2.42,37.978,15
D01934,lung_cancer,BRAF,1,0,0.622,505.6,4.32,43.599,7
D01935,melanoma,EGFR,1,1,0.6,491.2,3.8,6.028,13
D01936,ovarian_cancer,BRAF,0,0,0.885,368.8,3.13,6.04,19
D01937,prostate_cancer,ALK,0,0,0.778,392.2,1.82,7.083,16
D01938,prostate_cancer,ALK,1,1,0.608,420.9,3.95,7.893,3
D01939,ovarian_cancer,PD1,1,1,0.654,556.0,3.19,8.669,1
D01940,lung_cancer,mTOR,1,1,0.881,357.4,2.84,27.502,12
D01941,colon_cancer,BRAF,0,1,0.873,504.1,3.14,24.78,8
D01942,prostate_cancer,EGFR,1,1,0.408,332.5,2.29,14.678,11
D01943,lung_cancer,VEGF,0,0,0.682,474.9,3.43,28.199,5
D01944,breast_cancer,HER2,1,0,0.431,304.3,2.87,36.048,10
D01945,colon_cancer,ALK,1,0,0.61,491.4,3.68,17.62,17
D01946,breast_cancer,HER2,0,1,0.84,535.4,3.47,22.188,6
D01947,lung_cancer,mTOR,0,1,0.602,416.0,1.47,34.33,9
D01948,ovarian_cancer,PD1,0,0,0.566,448.6,3.8,8.333,2
D01949,prostate_cancer,BRAF,0,1,0.423,591.5,3.57,9.393,20
D01950,prostate_cancer,ALK,0,0,0.45,514.3,3.3,9.138,8
D01951,lung_cancer,mTOR,0,0,0.884,435.5,2.9,36.611,14
D01952,ovarian_cancer,mTOR,0,0,0.556,613.5,2.25,5.817,9
D01953,breast_cancer,PD1,1,0,0.639,609.2,2.74,34.974,19
D01954,breast_cancer,VEGF,0,0,0.803,586.0,1.87,22.852,3
D01955,prostate_cancer,EGFR,1,1,0.843,526.9,2.41,6.947,8
D01956,colon_cancer,VEGF,1,1,0.755,366.8,3.17,21.932,19
D01957,ovarian_cancer,ALK,1,0,0.564,560.8,2.32,5.249,5
D01958,ovarian_cancer,HER2,0,1,0.716,360.1,2.93,7.765,6
D01959,lung_cancer,VEGF,0,0,0.481,473.0,3.44,33.063,19
D01960,melanoma,mTOR,1,0,0.714,556.0,2.95,9.085,19
D01961,melanoma,mTOR,0,1,0.711,628.4,3.18,7.729,4
D01962,prostate_cancer,PD1,1,1,0.898,452.3,1.71,7.677,11
D01963,melanoma,BRAF,1,0,0.734,459.0,2.73,6.712,17
D01964,colon_cancer,EGFR,1,1,0.721,556.8,3.37,29.471,5
D01965,lung_cancer,VEGF,1,0,0.46,385.7,3.14,42.817,5
D01966,colon_cancer,PD1,1,1,0.677,533.7,4.22,29.093,17
D01967,breast_cancer,mTOR,0,0,0.82,551.0,3.61,24.437,1
D01968,breast_cancer,HER2,1,0,0.681,484.8,3.31,30.611,2
D01969,ovarian_cancer,PD1,0,0,0.587,580.0,1.93,3.601,6
D01970,prostate_cancer,HER2,0,0,0.67,452.0,2.38,14.596,14
D01971,breast_cancer,PD1,0,1,0.548,510.3,3.98,38.019,14
D01972,melanoma,mTOR,1,0,0.761,432.2,1.09,6.5,3
D01973,colon_cancer,HER2,1,0,0.862,447.0,3.73,24.197,3
D01974,lung_cancer,BRAF,1,0,0.472,523.0,3.34,45.561,8
D01975,melanoma,BRAF,0,1,0.595,457.6,1.98,5.967,12
D01976,lung_cancer,VEGF,1,0,0.846,521.2,2.33,28.087,19
D01977,prostate_cancer,VEGF,0,1,0.471,654.7,3.46,8.479,11
D01978,lung_cancer,HER2,0,1,0.662,433.5,2.51,44.291,20
D01979,melanoma,VEGF,1,1,0.811,472.6,2.81,7.706,20
D01980,melanoma,VEGF,0,1,0.838,569.3,3.15,9.747,2
D01981,melanoma,BRAF,1,0,0.713,421.5,4.51,7.13,6
D01982,prostate_cancer,HER2,1,1,0.512,483.9,3.62,6.927,20
D01983,ovarian_cancer,BRAF,1,0,0.835,431.3,3.29,6.989,14
D01984,melanoma,EGFR,0,1,0.821,504.9,1.49,8.662,9
D01985,prostate_cancer,ALK,1,1,0.733,641.2,4.03,8.261,12
D01986,lung_cancer,EGFR,0,1,0.521,448.2,2.12,37.374,19
D01987,melanoma,HER2,1,0,0.899,507.8,3.07,9.131,16
D01988,ovarian_cancer,ALK,1,1,0.421,508.5,3.15,3.647,4
D01989,ovarian_cancer,EGFR,0,0,0.58,520.5,4.16,7.036,20
D01990,melanoma,BRAF,1,0,0.574,525.4,2.16,8.941,15
D01991,ovarian_cancer,BRAF,0,1,0.807,589.0,4.31,6.769,14
D01992,prostate_cancer,EGFR,0,0,0.412,732.2,2.1,14.514,4
D01993,colon_cancer,mTOR,0,1,0.825,499.4,1.33,18.803,12
D01994,colon_cancer,VEGF,1,1,0.792,524.3,2.56,19.868,9
D01995,breast_cancer,VEGF,1,1,0.777,633.9,2.38,35.619,6
D01996,melanoma,BRAF,0,1,0.576,344.9,2.62,7.691,8
D01997,colon_cancer,BRAF,1,0,0.857,322.0,3.6,16.356,13
D01998,colon_cancer,ALK,1,0,0.778,314.8,3.02,18.032,16
D01999,colon_cancer,PD1,1,1,0.777,313.8,2.74,29.39,11
D02000,lung_cancer,EGFR,0,1,0.854,611.5,3.29,42.506,18
D02001,colon_cancer,BRAF,0,1,0.709,410.9,2.98,16.139,3
D02002,lung_cancer,HER2,1,1,0.473,481.4,3.38,33.504,12
D02003,melanoma,VEGF,1,0,0.823,370.7,3.47,8.681,10
D02004,ovarian_cancer,ALK,0,1,0.9,300.0,2.5,5.655,2
D02005,breast_cancer,ALK,0,1,0.413,440.9,3.51,24.489,8
D02006,breast_cancer,VEGF,1,0,0.473,481.8,1.88,25.936,1
D02007,ovarian_cancer,mTOR,1,1,0.678,401.2,3.16,8.99,7
D02008,melanoma,VEGF,1,1,0.773,473.7,2.54,8.534,12
D02009,colon_cancer,mTOR,1,1,0.85,441.5,3.56,29.054,11
D02010,ovarian_cancer,PD1,0,0,0.561,438.6,2.93,7.965,8
D02011,ovarian_cancer,ALK,0,0,0.891,653.6,1.86,7.705,17
D02012,prostate_cancer,mTOR,1,0,0.804,331.9,3.63,11.437,12
D02013,prostate_cancer,HER2,0,1,0.535,425.7,2.75,13.53,15
D02014,ovarian_cancer,mTOR,1,1,0.432,417.5,2.79,8.975,1
D02015,ovarian_cancer,mTOR,0,1,0.638,607.9,3.64,7.238,3
D02016,prostate_cancer,PD1,0,1,0.685,549.0,1.87,14.526,1
D02017,prostate_cancer,ALK,1,1,0.752,387.9,0.73,14.485,13
D02018,breast_cancer,HER2,1,1,0.669,415.2,3.77,33.493,11
D02019,breast_cancer,ALK,1,0,0.783,521.4,2.82,39.604,19
D02020,colon_cancer,BRAF,0,0,0.756,478.2,2.45,20.375,4
D02021,lung_cancer,ALK,0,1,0.765,496.4,3.61,43.314,8
D02022,ovarian_cancer,BRAF,0,0,0.415,350.7,3.24,8.573,4
D02023,colon_cancer,EGFR,0,1,0.687,554.6,2.67,29.235,13
D02024,melanoma,mTOR,1,0,0.824,536.1,5.25,5.915,10
D02025,colon_cancer,VEGF,1,1,0.65,471.7,3.31,17.768,13
D02026,breast_cancer,VEGF,1,0,0.57,421.0,3.15,35.036,17
D02027,colon_cancer,EGFR,0,0,0.741,516.8,3.16,16.432,1
D02028,ovarian_cancer,EGFR,0,1,0.592,398.4,3.17,3.166,19
D02029,ovarian_cancer,PD1,0,0,0.494,597.0,3.36,6.725,6
D02030,ovarian_cancer,VEGF,1,0,0.836,557.0,2.81,8.476,20
D02031,colon_cancer,ALK,0,1,0.753,540.0,3.22,28.195,6
D02032,ovarian_cancer,VEGF,1,0,0.711,403.9,3.25,8.612,4
D02033,colon_cancer,PD1,0,1,0.742,400.7,2.49,23.852,6
D02034,lung_cancer,mTOR,0,0,0.899,495.1,3.24,48.0,15
D02035,prostate_cancer,ALK,1,1,0.872,384.9,3.84,12.018,3
D02036,colon_cancer,VEGF,1,0,0.52,525.8,2.44,27.264,7
D02037,melanoma,EGFR,1,0,0.858,357.0,2.88,9.606,19
D02038,lung_cancer,BRAF,0,1,0.856,444.3,3.09,39.075,18
D02039,ovarian_cancer,mTOR,0,1,0.56,451.0,1.39,5.687,7
D02040,colon_cancer,HER2,1,1,0.618,448.9,2.76,16.236,1
D02041,melanoma,EGFR,1,1,0.705,530.7,2.44,6.529,10
D02042,prostate_cancer,HER2,0,0,0.494,614.3,1.47,6.803,19
D02043,prostate_cancer,ALK,0,1,0.77,584.9,2.82,10.809,2
D02044,colon_cancer,mTOR,0,1,0.882,548.8,3.06,15.787,14
D02045,prostate_cancer,ALK,0,1,0.741,571.2,2.69,6.402,7
D02046,lung_cancer,mTOR,0,0,0.756,392.1,4.14,26.824,7
D02047,melanoma,VEGF,0,0,0.861,470.9,3.18,6.03,4
D02048,colon_cancer,EGFR,0,1,0.892,578.8,2.17,29.806,8
D02049,colon_cancer,BRAF,1,0,0.478,527.6,2.53,23.981,20
D02050,prostate_cancer,PD1,1,1,0.502,469.4,3.06,13.908,9
D02051,melanoma,HER2,0,1,0.812,360.0,2.38,6.886,7
D02052,melanoma,PD1,0,1,0.421,588.1,3.71,8.836,5
D02053,prostate_cancer,HER2,0,0,0.719,475.0,3.19,7.038,16
D02054,lung_cancer,VEGF,1,0,0.872,456.5,4.09,31.412,13
D02055,colon_cancer,ALK,1,1,0.828,464.0,3.19,18.922,4
D02056,melanoma,BRAF,0,0,0.677,571.7,2.38,7.49,5
D02057,ovarian_cancer,EGFR,1,1,0.455,604.7,1.78,4.372,13
D02058,breast_cancer,EGFR,0,0,0.618,610.4,2.7,27.418,5
D02059,melanoma,ALK,0,0,0.784,460.6,1.49,8.625,2
D02060,ovarian_cancer,EGFR,0,1,0.83,443.6,2.17,4.505,6
D02061,colon_cancer,mTOR,0,0,0.596,431.4,2.89,17.296,10
D02062,ovarian_cancer,EGFR,0,0,0.714,556.6,3.17,5.015,15
D02063,lung_cancer,BRAF,1,0,0.822,504.6,2.12,40.042,10
D02064,ovarian_cancer,VEGF,0,1,0.428,409.5,4.44,7.109,14
D02065,ovarian_cancer,ALK,0,0,0.762,421.2,4.32,4.93,2
D02066,breast_cancer,EGFR,0,0,0.591,460.6,3.0,31.254,13
D02067,ovarian_cancer,EGFR,0,0,0.682,565.6,4.02,3.444,16
D02068,ovarian_cancer,HER2,1,1,0.743,471.1,2.69,5.321,8
D02069,prostate_cancer,mTOR,1,1,0.89,475.5,3.27,11.73,16
D02070,breast_cancer,mTOR,1,0,0.472,551.3,3.0,32.742,6
D02071,melanoma,PD1,0,1,0.77,529.5,4.31,7.159,10
D02072,breast_cancer,EGFR,1,1,0.755,510.5,3.25,30.83,8
D02073,melanoma,VEGF,1,0,0.871,358.5,0.9,7.106,14
D02074,melanoma,HER2,1,1,0.876,511.1,2.92,7.318,11
D02075,colon_cancer,HER2,1,0,0.762,438.8,3.19,18.089,7
D02076,prostate_cancer,VEGF,0,1,0.85,475.2,3.9,10.934,14
D02077,colon_cancer,HER2,1,0,0.596,486.9,2.4,22.053,18
D02078,prostate_cancer,mTOR,1,1,0.425,559.2,2.83,7.955,18
D02079,breast_cancer,HER2,1,1,0.49,522.1,2.62,28.86,7
D02080,melanoma,ALK,0,1,0.892,428.0,3.07,8.403,5
D02081,prostate_cancer,mTOR,0,0,0.606,481.0,3.38,10.217,5
D02082,melanoma,PD1,0,0,0.793,458.5,1.53,5.429,1
D02083,lung_cancer,PD1,0,1,0.866,445.4,3.64,33.917,5
D02084,breast_cancer,PD1,0,1,0.712,456.2,2.8,26.31,15
D02085,melanoma,PD1,0,1,0.552,558.9,2.43,9.012,6
D02086,breast_cancer,VEGF,1,0,0.666,356.6,2.87,32.366,6
D02087,ovarian_cancer,ALK,1,1,0.745,441.3,2.23,8.422,4
D02088,prostate_cancer,VEGF,1,0,0.778,466.0,3.39,7.22,13
D02089,melanoma,mTOR,1,0,0.784,479.3,3.25,7.931,12
D02090,melanoma,ALK,0,1,0.847,625.1,2.73,9.851,19
D02091,colon_cancer,PD1,0,1,0.434,502.3,2.59,17.024,10
D02092,prostate_cancer,mTOR,0,0,0.896,412.3,2.53,13.119,7
D02093,prostate_cancer,PD1,1,0,0.577,441.7,3.29,14.852,16
D02094,lung_cancer,ALK,1,0,0.583,667.9,2.43,31.318,17
D02095,colon_cancer,ALK,0,1,0.559,446.7,2.95,17.503,8
D02096,prostate_cancer,PD1,1,1,0.898,511.7,3.21,9.038,9
D02097,prostate_cancer,BRAF,1,0,0.566,582.7,1.06,6.282,20
D02098,lung_cancer,HER2,0,1,0.59,300.0,2.6,47.613,13
D02099,melanoma,EGFR,1,1,0.568,567.8,1.75,9.016,14
D02100,melanoma,HER2,1,0,0.871,300.0,3.46,8.596,18
D02101,breast_cancer,mTOR,1,1,0.442,499.5,2.13,28.997,3
D02102,prostate_cancer,PD1,0,0,0.805,401.2,2.22,13.256,4
D02103,breast_cancer,EGFR,0,1,0.432,488.8,2.5,31.438,8
D02104,lung_cancer,BRAF,0,0,0.762,519.5,0.72,43.413,11
D02105,ovarian_cancer,EGFR,0,1,0.716,411.5,2.1,4.985,4
D02106,ovarian_cancer,EGFR,0,0,0.5,459.5,2.57,7.476,3
D02107,breast_cancer,EGFR,0,0,0.616,543.8,1.51,33.712,7
D02108,lung_cancer,HER2,0,1,0.56,483.6,3.45,38.233,16
D02109,breast_cancer,HER2,1,0,0.635,628.5,2.61,34.631,19
D02110,lung_cancer,mTOR,0,0,0.44,506.0,1.56,49.355,9
D02111,breast_cancer,ALK,0,0,0.751,300.0,3.68,21.516,6
D02112,colon_cancer,BRAF,0,0,0.597,479.6,3.94,27.541,10
D02113,ovarian_cancer,mTOR,1,0,0.613,370.1,3.42,7.947,8
D02114,ovarian_cancer,EGFR,1,1,0.777,629.5,3.34,3.388,3
D02115,melanoma,PD1,0,1,0.44,502.1,3.01,8.822,15
D02116,lung_cancer,HER2,0,1,0.694,354.3,4.08,47.908,12
D02117,prostate_cancer,HER2,0,1,0.764,431.1,3.4,8.872,12
D02118,prostate_cancer,BRAF,1,1,0.65,355.0,2.06,12.871,11
D02119,ovarian_cancer,HER2,0,0,0.694,594.8,2.72,3.256,12
D02120,melanoma,mTOR,1,1,0.862,596.3,2.94,9.232,13
D02121,melanoma,BRAF,1,1,0.476,332.6,3.71,8.689,13
D02122,melanoma,EGFR,0,1,0.591,432.8,3.56,9.351,5
D02123,melanoma,PD1,0,1,0.796,482.0,1.77,8.309,6
D02124,breast_cancer,ALK,0,0,0.447,493.1,4.76,27.826,5
D02125,colon_cancer,PD1,0,0,0.649,519.4,2.95,17.375,18
D02126,colon_cancer,VEGF,0,1,0.703,566.0,3.17,22.487,14
D02127,breast_cancer,mTOR,0,1,0.881,496.8,2.13,21.338,11
D02128,prostate_cancer,mTOR,1,0,0.518,498.7,3.83,14.49,7
D02129,melanoma,mTOR,0,1,0.716,413.1,4.14,6.693,10
D02130,prostate_cancer,ALK,1,0,0.7,472.7,2.29,10.767,11
D02131,prostate_cancer,PD1,0,1,0.683,559.8,2.77,10.262,1
D02132,melanoma,PD1,1,0,0.505,540.8,2.77,6.631,8
D02133,colon_cancer,HER2,1,1,0.677,475.2,3.39,23.658,11
D02134,prostate_cancer,VEGF,0,1,0.791,503.3,1.4,11.15,8
D02135,prostate_cancer,ALK,0,0,0.644,390.3,3.74,10.228,1
D02136,colon_cancer,ALK,0,1,0.775,469.4,2.58,24.354,3
D02137,ovarian_cancer,mTOR,1,1,0.433,371.3,2.14,5.337,7
D02138,colon_cancer,HER2,0,1,0.824,318.3,2.92,15.885,8
D02139,breast_cancer,HER2,0,1,0.578,432.1,2.23,32.413,18
D02140,breast_cancer,BRAF,1,1,0.642,474.6,3.29,26.283,18
D02141,breast_cancer,BRAF,0,0,0.548,647.5,1.79,21.211,7
D02142,ovarian_cancer,BRAF,1,0,0.795,572.8,3.78,5.538,1
D02143,colon_cancer,PD1,0,0,0.548,417.7,3.16,15.432,14
D02144,lung_cancer,PD1,1,0,0.623,443.4,3.15,34.55,6
