drug_id,indication,target,has_positive_efficacy_phrase,has_severe_toxicity_phrase,text_embed_score,molecular_weight,logP,potential_label,toxicity_label,market_size_million,competition_level,expected_profit_score,success_probability,traditional_time_years,ai_time_years
D02832,prostate_cancer,mTOR,1,0,0.584,480.6,1.82,2,0,7695,1,0.778,0.566,10,1
D02833,colon_cancer,VEGF,0,1,0.888,441.0,1.85,1,1,24782,6,0.389,0.282,9,3
D02834,colon_cancer,mTOR,0,0,0.564,535.5,3.57,0,0,28577,7,0.473,0.414,8,3
D02835,melanoma,EGFR,0,1,0.678,341.6,4.07,0,1,5096,3,0.145,0.068,10,3
D02836,colon_cancer,ALK,1,0,0.743,679.8,3.04,2,0,26184,7,0.811,0.583,8,1
D02837,prostate_cancer,VEGF,1,1,0.852,428.7,5.26,2,1,13548,3,0.538,0.398,14,3
D02838,melanoma,PD1,1,1,0.527,374.5,3.02,1,0,8142,5,0.566,0.472,10,3
D02839,prostate_cancer,VEGF,0,1,0.442,494.4,4.08,0,1,9460,4,0.157,0.103,14,3
D02840,colon_cancer,EGFR,0,0,0.629,508.8,2.6,1,0,18764,6,0.609,0.501,14,2
D02841,prostate_cancer,ALK,1,1,0.667,403.9,2.73,2,1,6078,5,0.48,0.347,11,1
D02842,melanoma,PD1,0,1,0.66,399.4,3.04,0,0,9170,1,0.436,0.3,12,3
D02843,lung_cancer,ALK,0,0,0.878,434.9,1.8,2,0,30600,7,0.833,0.65,13,2
D02844,melanoma,PD1,1,1,0.413,580.4,2.6,1,1,6712,2,0.339,0.218,14,1
D02845,colon_cancer,VEGF,1,0,0.449,378.5,2.87,1,0,15929,8,0.575,0.467,14,3
D02846,lung_cancer,ALK,1,1,0.739,485.5,1.6,2,1,46899,10,0.634,0.449,9,1
D02847,lung_cancer,VEGF,1,1,0.459,506.5,2.16,1,0,46596,8,0.728,0.564,9,3
D02848,colon_cancer,HER2,0,0,0.842,616.9,3.42,1,0,19336,4,0.632,0.458,11,3
D02849,breast_cancer,EGFR,1,1,0.548,448.0,2.4,2,1,36942,8,0.605,0.484,12,1
D02850,prostate_cancer,ALK,0,0,0.827,471.6,3.49,1,0,10184,5,0.576,0.473,10,2
D02851,colon_cancer,mTOR,0,1,0.487,478.0,2.83,0,0,16698,6,0.423,0.364,10,3
D02852,melanoma,BRAF,0,0,0.531,484.7,2.52,1,0,7752,5,0.564,0.399,10,2
D02853,breast_cancer,ALK,0,1,0.623,452.5,1.33,0,0,36496,9,0.492,0.406,11,3
D02854,ovarian_cancer,ALK,1,1,0.565,557.9,3.24,1,1,6702,3,0.329,0.288,9,2
D02855,lung_cancer,EGFR,0,0,0.608,418.1,4.52,1,0,35757,9,0.664,0.508,13,2
D02856,colon_cancer,HER2,0,0,0.526,487.0,2.17,1,0,15445,3,0.622,0.429,10,3
D02857,colon_cancer,BRAF,1,1,0.702,548.5,3.32,2,1,20725,6,0.544,0.364,8,2
D02858,melanoma,ALK,1,0,0.753,511.6,2.66,2,0,5508,4,0.738,0.517,11,2
D02859,ovarian_cancer,PD1,0,1,0.884,516.0,2.79,0,0,8788,2,0.424,0.317,10,1
D02860,breast_cancer,EGFR,0,1,0.88,524.5,1.48,0,1,36123,5,0.281,0.194,13,3
D02861,breast_cancer,PD1,1,1,0.836,445.3,4.38,1,1,22052,3,0.405,0.243,8,1
D02862,ovarian_cancer,HER2,0,1,0.672,418.6,2.52,0,1,7420,1,0.177,0.159,11,1
D02863,colon_cancer,HER2,1,1,0.711,444.2,2.03,2,1,21171,4,0.566,0.388,10,3
D02864,colon_cancer,EGFR,0,0,0.714,303.3,2.82,1,0,20547,4,0.638,0.434,9,3
D02865,ovarian_cancer,HER2,1,1,0.692,490.9,2.96,2,0,8025,3,0.76,0.559,13,3
D02866,ovarian_cancer,BRAF,1,0,0.668,468.4,3.03,2,0,7363,3,0.757,0.563,8,2
D02867,breast_cancer,EGFR,0,0,0.735,561.8,2.85,1,0,37707,9,0.674,0.556,11,1
D02868,prostate_cancer,BRAF,0,0,0.773,434.1,2.78,1,0,13087,4,0.6,0.46,10,1
D02869,melanoma,BRAF,1,1,0.468,526.3,4.13,1,1,7768,2,0.344,0.242,12,2
D02870,prostate_cancer,mTOR,0,0,0.475,429.7,3.08,1,0,13353,5,0.592,0.431,10,2
D02871,lung_cancer,HER2,0,1,0.491,507.1,2.21,0,1,33714,10,0.219,0.198,14,3
D02872,prostate_cancer,PD1,1,0,0.571,481.6,1.83,2,0,8114,4,0.751,0.57,13,1
D02873,lung_cancer,PD1,1,0,0.57,338.5,3.29,1,0,32154,5,0.686,0.55,14,2
D02874,breast_cancer,HER2,0,0,0.675,449.3,3.16,1,0,20742,5,0.629,0.498,14,2
D02875,lung_cancer,BRAF,0,1,0.571,478.6,2.22,0,0,44779,10,0.524,0.441,13,1
D02876,ovarian_cancer,BRAF,1,1,0.725,476.4,2.01,1,0,6904,5,0.56,0.446,8,2
D02877,ovarian_cancer,mTOR,1,1,0.835,591.3,1.92,1,1,5812,4,0.314,0.25,10,2
D02878,ovarian_cancer,HER2,1,1,0.65,464.3,2.17,1,0,4460,5,0.547,0.471,13,1
D02879,colon_cancer,ALK,1,1,0.667,525.6,2.73,2,0,15173,8,0.746,0.623,9,1
D02880,prostate_cancer,ALK,1,1,0.691,438.5,3.68,1,1,8615,4,0.328,0.224,11,2
D02881,lung_cancer,HER2,1,0,0.43,482.4,3.41,2,0,32385,6,0.852,0.639,8,3
D02882,lung_cancer,VEGF,1,0,0.834,401.5,1.88,2,0,33118,7,0.846,0.625,12,1
D02883,colon_cancer,ALK,0,0,0.67,488.6,2.74,1,0,28412,4,0.677,0.467,10,1
D02884,colon_cancer,mTOR,1,0,0.465,530.1,2.94,2,0,23380,6,0.807,0.566,10,2
D02885,colon_cancer,ALK,1,1,0.631,496.4,1.7,2,1,19846,5,0.549,0.446,10,3
D02886,colon_cancer,ALK,1,1,0.413,631.1,2.87,1,1,18932,8,0.34,0.285,9,3
D02887,prostate_cancer,HER2,0,1,0.457,535.8,2.33,0,1,10689,1,0.193,0.133,12,2
D02888,breast_cancer,HER2,1,0,0.77,504.6,1.96,2,0,22021,6,0.8,0.644,14,3
D02889,prostate_cancer,ALK,0,0,0.597,516.2,2.72,1,0,9030,1,0.61,0.428,10,2
D02890,colon_cancer,HER2,1,1,0.474,482.3,3.56,1,1,28219,8,0.386,0.259,13,2
D02891,ovarian_cancer,PD1,1,0,0.413,381.4,2.45,2,0,5459,1,0.767,0.533,13,2
D02892,prostate_cancer,BRAF,0,0,0.762,516.6,4.68,1,0,10661,3,0.598,0.403,13,1
D02893,ovarian_cancer,VEGF,1,0,0.545,469.0,3.47,2,0,7717,3,0.759,0.528,14,3
D02894,lung_cancer,BRAF,0,1,0.759,471.4,4.55,0,1,43732,7,0.299,0.218,8,3
D02895,lung_cancer,PD1,1,1,0.444,340.2,3.08,1,1,30041,7,0.405,0.28,8,1
D02896,ovarian_cancer,ALK,0,0,0.502,350.0,0.99,0,0,4910,3,0.395,0.342,13,2
D02897,melanoma,EGFR,0,0,0.7,503.8,3.11,1,0,6440,4,0.567,0.434,11,1
D02898,breast_cancer,mTOR,0,1,0.81,457.2,2.92,0,0,20849,4,0.464,0.364,13,3
D02899,breast_cancer,ALK,0,0,0.42,727.9,2.79,0,0,38365,5,0.542,0.362,12,3
D02900,lung_cancer,ALK,0,1,0.739,520.8,2.48,0,0,31168,5,0.506,0.41,8,3
D02901,ovarian_cancer,BRAF,0,0,0.435,503.6,2.81,1,0,7600,2,0.593,0.403,9,1
D02902,melanoma,BRAF,1,1,0.427,447.2,4.46,1,1,5566,4,0.313,0.197,14,3
D02903,breast_cancer,HER2,0,0,0.844,574.2,3.11,1,0,21171,5,0.631,0.509,8,1
D02904,breast_cancer,HER2,0,0,0.411,300.0,2.71,0,0,28634,7,0.473,0.358,8,2
D02905,lung_cancer,PD1,1,1,0.572,696.2,2.82,1,1,36362,10,0.407,0.281,13,3
D02906,melanoma,VEGF,0,0,0.813,568.3,4.15,1,0,8230,1,0.606,0.479,13,2
D02907,prostate_cancer,ALK,0,0,0.726,497.5,2.33,1,0,6898,3,0.579,0.469,13,2
D02908,lung_cancer,VEGF,1,0,0.43,300.0,3.55,1,0,25447,5,0.652,0.498,10,2
D02909,ovarian_cancer,BRAF,1,1,0.743,414.8,3.14,1,1,5030,2,0.33,0.257,8,1
D02910,melanoma,EGFR,1,0,0.791,380.0,2.79,2,0,5538,3,0.748,0.579,12,2
D02911,breast_cancer,VEGF,0,0,0.549,482.7,3.21,1,0,33311,7,0.672,0.547,14,2
D02912,colon_cancer,PD1,0,0,0.522,390.8,3.96,0,0,28774,7,0.474,0.371,9,3
D02913,colon_cancer,ALK,0,1,0.675,432.2,1.66,0,0,20183,3,0.471,0.322,14,1
D02914,ovarian_cancer,mTOR,0,0,0.86,471.3,3.03,1,0,4926,4,0.56,0.437,12,1
D02915,ovarian_cancer,HER2,1,0,0.598,492.8,4.09,2,0,4190,2,0.751,0.564,8,2
D02916,prostate_cancer,VEGF,1,1,0.619,461.1,2.9,1,0,10480,5,0.577,0.444,11,3
D02917,colon_cancer,EGFR,1,0,0.646,391.7,3.66,1,0,18735,3,0.639,0.468,10,1
D02918,ovarian_cancer,mTOR,1,1,0.419,494.7,2.66,1,1,3039,5,0.29,0.193,13,2
D02919,colon_cancer,BRAF,0,1,0.62,327.6,4.16,0,1,26654,4,0.243,0.187,8,1
D02920,melanoma,ALK,1,0,0.451,381.8,2.53,1,0,6624,4,0.568,0.399,12,3
D02921,breast_cancer,mTOR,0,1,0.571,508.7,2.04,0,0,31489,7,0.487,0.346,11,3
D02922,breast_cancer,mTOR,1,0,0.65,360.5,1.3,1,0,20894,4,0.639,0.456,14,3
D02923,colon_cancer,HER2,1,1,0.896,537.7,2.56,2,0,21721,6,0.799,0.557,9,1
D02924,lung_cancer,EGFR,1,0,0.476,714.2,2.2,2,0,42126,8,0.881,0.685,11,2
D02925,prostate_cancer,VEGF,0,1,0.772,406.3,2.55,1,0,14689,2,0.628,0.465,13,1
D02926,ovarian_cancer,PD1,1,0,0.89,499.5,2.62,2,0,8866,5,0.744,0.58,11,3
D02927,colon_cancer,EGFR,0,0,0.494,529.0,2.22,1,0,29026,3,0.69,0.472,14,3
D02928,prostate_cancer,PD1,1,0,0.836,369.5,1.56,2,0,6555,1,0.773,0.585,9,2
D02929,ovarian_cancer,PD1,1,0,0.552,302.1,2.59,1,0,5089,3,0.57,0.449,11,2
D02930,ovarian_cancer,PD1,1,0,0.818,455.9,2.49,2,0,6899,3,0.754,0.602,9,2
D02931,colon_cancer,VEGF,0,0,0.456,579.5,3.98,0,1,29547,8,0.218,0.21,13,2
D02932,breast_cancer,PD1,1,1,0.69,453.2,1.56,2,1,30450,9,0.562,0.395,10,3
D02933,lung_cancer,BRAF,1,0,0.675,434.7,2.52,2,0,48995,9,0.905,0.683,13,1
D02934,prostate_cancer,HER2,0,0,0.445,427.4,2.44,0,0,7694,2,0.418,0.338,12,2
D02935,prostate_cancer,HER2,1,1,0.603,427.7,2.69,1,1,6670,3,0.328,0.279,14,3
D02936,colon_cancer,ALK,1,0,0.749,429.2,3.17,2,0,26560,8,0.803,0.651,14,1
D02937,colon_cancer,HER2,1,0,0.794,508.8,2.27,2,0,18309,8,0.762,0.567,9,3
D02938,ovarian_cancer,BRAF,1,1,0.83,581.7,2.22,1,1,7544,1,0.353,0.26,8,1
D02939,melanoma,PD1,1,1,0.719,350.6,3.3,1,0,5678,3,0.573,0.441,9,3
D02940,prostate_cancer,EGFR,1,0,0.738,414.6,3.26,2,0,7195,1,0.776,0.567,12,1
D02941,lung_cancer,mTOR,0,0,0.55,300.0,4.11,0,0,48349,10,0.542,0.379,8,3
D02942,ovarian_cancer,VEGF,0,1,0.582,533.8,1.8,0,1,5473,4,0.137,0.085,13,3
D02943,ovarian_cancer,ALK,1,0,0.521,361.7,4.34,1,0,5395,5,0.552,0.456,13,2
D02944,melanoma,EGFR,0,1,0.68,421.0,2.33,1,1,7790,2,0.344,0.212,8,1
D02945,lung_cancer,BRAF,0,0,0.777,300.0,2.72,1,0,44187,5,0.746,0.547,13,2
D02946,melanoma,HER2,0,0,0.671,461.8,3.57,1,0,6665,5,0.558,0.491,14,3
D02947,prostate_cancer,PD1,1,0,0.605,368.1,1.78,2,0,14677,2,0.803,0.634,14,3
D02948,lung_cancer,BRAF,0,0,0.741,516.1,3.81,1,0,49805,10,0.724,0.559,8,2
D02949,lung_cancer,BRAF,0,1,0.66,354.3,3.87,0,1,49635,10,0.298,0.216,13,3
D02950,melanoma,BRAF,0,0,0.418,483.0,3.87,1,0,5287,5,0.551,0.485,12,1
D02951,colon_cancer,ALK,1,0,0.736,474.4,0.98,2,0,19988,7,0.78,0.594,11,3
D02952,breast_cancer,ALK,1,1,0.43,467.8,3.85,1,1,28815,5,0.419,0.287,11,1
D02953,melanoma,mTOR,1,1,0.738,408.5,2.69,1,1,6312,5,0.307,0.201,12,2
D02954,melanoma,mTOR,1,0,0.83,465.9,0.68,2,0,7734,2,0.769,0.595,8,1
D02955,melanoma,VEGF,1,0,0.429,613.7,2.28,1,0,7094,3,0.58,0.41,10,2
D02956,breast_cancer,VEGF,0,0,0.9,520.5,2.93,1,0,28451,3,0.687,0.519,9,2
D02957,lung_cancer,mTOR,1,0,0.724,580.6,3.32,2,0,40683,7,0.883,0.614,10,3
D02958,ovarian_cancer,VEGF,1,0,0.431,461.2,2.29,2,0,4719,4,0.734,0.584,14,2
D02959,ovarian_cancer,VEGF,0,0,0.646,543.8,1.5,1,0,4061,2,0.575,0.438,10,3
D02960,melanoma,VEGF,0,1,0.47,531.7,2.12,0,1,6794,4,0.144,0.134,9,2
D02961,ovarian_cancer,VEGF,0,0,0.517,580.2,3.13,0,0,8725,1,0.434,0.273,13,3
D02962,colon_cancer,VEGF,0,1,0.868,531.5,3.07,0,1,15182,5,0.176,0.108,9,1
D02963,prostate_cancer,EGFR,0,1,0.584,339.8,2.31,0,1,8095,3,0.16,0.135,12,3
D02964,lung_cancer,PD1,1,0,0.62,533.8,3.13,2,0,46027,10,0.88,0.652,13,3
D02965,lung_cancer,mTOR,1,1,0.67,574.5,3.32,1,1,37653,7,0.443,0.306,13,2
D02966,colon_cancer,PD1,0,0,0.584,402.7,2.36,1,0,18644,6,0.608,0.484,9,2
D02967,colon_cancer,EGFR,1,0,0.757,488.2,1.15,2,0,25611,7,0.808,0.607,12,2
D02968,ovarian_cancer,VEGF,1,0,0.663,613.9,3.35,2,0,7687,1,0.778,0.541,11,3
D02969,ovarian_cancer,mTOR,0,0,0.44,578.2,1.74,0,0,3774,5,0.369,0.31,14,3
D02970,prostate_cancer,mTOR,1,1,0.79,579.6,4.79,1,1,8093,3,0.335,0.196,11,2
D02971,prostate_cancer,HER2,1,0,0.602,374.3,3.62,1,0,14097,4,0.605,0.457,14,2
D02972,ovarian_cancer,ALK,1,0,0.471,480.1,1.76,2,0,3729,1,0.759,0.532,10,1
D02973,colon_cancer,VEGF,1,1,0.484,519.4,3.67,1,1,27441,6,0.402,0.268,13,2
D02974,colon_cancer,VEGF,1,0,0.698,431.9,3.93,2,0,24772,5,0.824,0.563,12,3
D02975,colon_cancer,PD1,1,1,0.581,346.7,1.8,1,1,18250,3,0.386,0.268,12,2
D02976,breast_cancer,EGFR,0,0,0.769,490.9,3.02,1,0,35326,6,0.692,0.501,11,1
D02977,prostate_cancer,HER2,0,1,0.768,422.7,3.65,0,1,9045,2,0.175,0.167,9,2
D02978,ovarian_cancer,mTOR,1,0,0.699,522.5,3.69,2,0,3041,1,0.755,0.566,8,3
D02979,lung_cancer,PD1,1,1,0.76,470.1,3.48,2,1,31811,10,0.559,0.395,10,2
D02980,melanoma,BRAF,0,1,0.657,444.3,4.64,0,1,7288,1,0.176,0.117,11,1
D02981,ovarian_cancer,HER2,0,0,0.648,415.0,4.68,1,0,8793,3,0.589,0.461,12,1
D02982,lung_cancer,PD1,1,1,0.807,482.8,1.9,2,0,43830,7,0.899,0.635,11,1
D02983,prostate_cancer,VEGF,1,0,0.772,589.4,3.1,2,0,11334,2,0.787,0.578,12,1
D02984,prostate_cancer,PD1,1,1,0.572,548.1,3.98,1,1,13249,5,0.341,0.288,10,3
D02985,melanoma,mTOR,0,0,0.888,507.0,2.53,1,0,7906,1,0.605,0.455,11,3
D02986,colon_cancer,ALK,0,0,0.598,558.1,3.0,1,0,18927,3,0.64,0.473,12,3
D02987,ovarian_cancer,BRAF,1,1,0.597,534.9,1.28,1,1,5172,2,0.331,0.218,14,1
D02988,colon_cancer,PD1,1,1,0.488,515.8,2.49,1,1,26239,5,0.406,0.279,14,1
D02989,ovarian_cancer,mTOR,0,0,0.661,612.3,3.5,0,0,5542,4,0.388,0.326,11,2
D02990,lung_cancer,PD1,0,0,0.638,499.2,3.39,1,0,39100,10,0.671,0.564,8,3
D02991,prostate_cancer,EGFR,1,0,0.493,400.1,4.3,1,0,9895,5,0.574,0.481,11,3
D02992,colon_cancer,PD1,1,0,0.719,639.3,3.31,2,0,27907,5,0.84,0.582,12,3
D02993,breast_cancer,VEGF,0,1,0.466,607.2,2.54,0,1,33143,5,0.266,0.143,9,3
D02994,colon_cancer,PD1,0,0,0.484,416.2,3.03,1,0,18162,7,0.596,0.422,8,1
D02995,breast_cancer,BRAF,1,1,0.828,514.8,2.68,1,1,32280,9,0.396,0.261,13,3
D02996,lung_cancer,ALK,1,0,0.495,523.0,3.25,2,0,37244,5,0.886,0.681,10,1
D02997,ovarian_cancer,EGFR,0,1,0.666,400.1,3.42,0,0,8408,4,0.402,0.279,8,3
D02998,lung_cancer,HER2,1,0,0.699,549.1,3.14,2,0,43300,10,0.867,0.704,14,2
D02999,lung_cancer,mTOR,0,1,0.442,572.2,2.03,0,1,29603,3,0.268,0.2,10,3
D03000,colon_cancer,VEGF,0,0,0.681,517.4,2.06,1,0,19344,3,0.642,0.49,14,1
D03001,melanoma,BRAF,0,1,0.648,390.9,2.5,0,0,6265,4,0.391,0.291,8,2
D03002,melanoma,EGFR,0,0,0.853,404.6,2.56,1,0,5268,2,0.581,0.48,11,3
D03003,colon_cancer,EGFR,1,1,0.645,462.9,3.67,1,1,24082,6,0.385,0.24,13,1
D03004,ovarian_cancer,EGFR,0,0,0.832,454.3,1.73,1,0,8566,5,0.568,0.481,9,1
D03005,lung_cancer,VEGF,1,1,0.692,571.2,2.33,1,1,44031,10,0.445,0.377,8,2
D03006,breast_cancer,VEGF,0,1,0.808,475.3,3.36,0,0,36544,10,0.483,0.402,14,1
D03007,lung_cancer,ALK,1,0,0.685,496.0,3.88,2,0,34443,7,0.852,0.589,9,1
D03008,lung_cancer,VEGF,0,0,0.796,518.3,2.31,1,0,33981,5,0.695,0.554,12,1
D03009,colon_cancer,PD1,1,0,0.838,654.3,3.16,2,0,23184,3,0.836,0.584,14,3
D03010,breast_cancer,PD1,1,1,0.532,468.2,3.77,1,1,33236,5,0.441,0.317,14,3
D03011,colon_cancer,BRAF,0,1,0.814,500.0,3.32,1,0,20578,6,0.618,0.47,12,1
D03012,prostate_cancer,ALK,1,0,0.644,679.4,2.78,1,0,7280,3,0.581,0.408,12,3
D03013,lung_cancer,PD1,1,1,0.865,454.6,3.09,2,0,39125,6,0.886,0.629,9,3
D03014,prostate_cancer,ALK,1,1,0.603,565.7,1.79,1,1,11658,2,0.363,0.209,11,2
D03015,melanoma,VEGF,1,0,0.635,322.8,2.53,2,0,9249,3,0.766,0.581,8,1
D03016,prostate_cancer,mTOR,0,1,0.879,349.3,2.66,0,1,12339,2,0.192,0.158,12,2
D03017,melanoma,EGFR,0,1,0.698,520.2,2.29,0,1,8276,5,0.141,0.13,13,3
D03018,melanoma,mTOR,0,0,0.598,365.9,3.06,0,0,9022,3,0.415,0.277,8,2
D03019,melanoma,VEGF,0,0,0.758,549.0,1.64,1,0,6468,2,0.587,0.425,10,3
D03020,melanoma,BRAF,0,0,0.66,545.6,3.65,1,0,7530,5,0.563,0.433,8,2
D03021,breast_cancer,EGFR,1,0,0.57,556.3,3.97,1,1,27460,5,0.412,0.264,8,1
D03022,prostate_cancer,EGFR,1,1,0.859,656.2,2.72,1,1,9767,3,0.344,0.266,9,1
D03023,breast_cancer,HER2,0,0,0.702,488.8,2.67,1,0,38961,7,0.7,0.564,13,1
D03024,prostate_cancer,EGFR,1,0,0.541,480.2,4.23,1,0,13954,5,0.595,0.432,13,1
D03025,prostate_cancer,BRAF,1,1,0.696,372.4,2.31,1,1,10976,1,0.37,0.278,8,1
D03026,melanoma,ALK,0,0,0.446,590.2,3.82,0,1,9235,1,0.186,0.123,13,1
D03027,lung_cancer,BRAF,1,0,0.831,450.9,3.68,2,0,40176,9,0.861,0.678,14,2
D03028,breast_cancer,HER2,1,1,0.652,507.3,4.2,1,1,31364,6,0.422,0.295,14,3
D03029,colon_cancer,ALK,0,0,0.774,486.0,3.82,1,0,17442,5,0.612,0.45,13,1
D03030,breast_cancer,HER2,1,0,0.563,691.4,3.48,1,0,37248,10,0.661,0.524,9,3
D03031,lung_cancer,PD1,0,0,0.526,483.9,3.58,0,0,42277,6,0.551,0.407,11,1
D03032,lung_cancer,PD1,1,1,0.636,450.8,4.91,1,1,26450,7,0.387,0.254,12,2
D03033,colon_cancer,PD1,1,0,0.761,494.4,2.78,2,0,20134,4,0.811,0.558,14,1
D03034,prostate_cancer,mTOR,1,0,0.451,413.1,3.88,2,0,12490,2,0.792,0.541,13,1
D03035,melanoma,BRAF,1,0,0.528,549.4,2.6,2,0,5997,1,0.77,0.596,8,2
D03036,colon_cancer,PD1,0,1,0.866,526.1,1.79,1,0,19443,4,0.632,0.445,12,3
D03037,melanoma,EGFR,0,1,0.513,494.8,3.36,0,1,9756,4,0.159,0.091,11,3
D03038,melanoma,EGFR,0,0,0.775,616.6,2.38,1,0,7478,2,0.592,0.423,12,3
D03039,melanoma,PD1,1,1,0.713,377.7,2.28,1,1,5756,4,0.314,0.241,8,3
D03040,breast_cancer,EGFR,1,0,0.65,373.1,4.07,1,0,27195,7,0.641,0.456,10,3
D03041,lung_cancer,VEGF,0,0,0.48,603.9,3.26,0,0,35534,7,0.508,0.395,11,1
D03042,colon_cancer,mTOR,0,0,0.89,577.7,3.11,1,0,29383,7,0.652,0.47,11,3
D03043,melanoma,PD1,1,1,0.762,472.4,2.73,2,0,5147,2,0.756,0.553,11,2
D03044,melanoma,EGFR,0,1,0.589,455.2,1.76,0,0,9502,2,0.428,0.286,9,3
D03045,prostate_cancer,ALK,0,0,0.691,501.1,2.97,1,0,14248,4,0.606,0.497,12,1
D03046,melanoma,ALK,1,1,0.467,539.6,3.07,1,1,9904,2,0.355,0.22,8,2
D03047,prostate_cancer,BRAF,1,1,0.685,467.0,2.3,2,0,12591,4,0.773,0.597,11,1
D03048,colon_cancer,ALK,1,0,0.447,485.8,3.59,1,0,19335,4,0.632,0.523,12,3
D03049,colon_cancer,ALK,0,0,0.883,388.5,3.07,1,0,28079,6,0.655,0.48,9,2
D03050,breast_cancer,EGFR,0,1,0.775,498.6,2.43,0,1,35526,10,0.228,0.141,12,3
D03051,prostate_cancer,VEGF,1,1,0.713,433.0,3.18,2,0,12730,3,0.784,0.59,10,3
D03052,ovarian_cancer,BRAF,1,1,0.483,389.3,3.28,1,0,4616,1,0.588,0.407,14,2
D03053,breast_cancer,HER2,1,1,0.688,408.4,3.85,1,1,34013,9,0.405,0.309,11,2
D03054,ovarian_cancer,VEGF,1,1,0.436,667.0,2.31,1,1,6977,3,0.33,0.292,8,3
D03055,colon_cancer,VEGF,0,1,0.49,522.7,2.42,0,1,18145,4,0.201,0.156,8,3
D03056,melanoma,BRAF,1,0,0.582,563.3,1.99,1,0,5671,2,0.583,0.45,10,2
D03057,ovarian_cancer,EGFR,1,1,0.492,518.4,2.3,1,1,7091,5,0.31,0.208,8,2
D03058,ovarian_cancer,ALK,0,0,0.401,463.4,2.18,1,0,3796,4,0.554,0.462,14,2
D03059,melanoma,HER2,0,1,0.82,545.8,2.33,1,1,9675,1,0.363,0.233,11,1
D03060,ovarian_cancer,HER2,0,1,0.627,524.2,2.72,1,0,8458,2,0.597,0.435,9,1
D03061,ovarian_cancer,HER2,1,0,0.423,470.8,3.12,2,0,4484,4,0.732,0.542,13,1
D03062,lung_cancer,PD1,1,1,0.89,419.1,3.17,2,1,45330,8,0.647,0.424,14,3
D03063,colon_cancer,PD1,1,0,0.478,602.4,2.38,2,0,16942,3,0.805,0.61,10,3
D03064,ovarian_cancer,EGFR,1,1,0.503,573.7,4.2,1,1,6389,1,0.347,0.273,12,2
D03065,ovarian_cancer,PD1,1,1,0.777,414.7,1.84,1,1,5810,5,0.304,0.237,10,3
D03066,melanoma,mTOR,1,0,0.874,504.2,2.56,2,0,8364,3,0.762,0.548,11,1
D03067,breast_cancer,mTOR,0,0,0.645,629.5,3.03,1,0,31490,9,0.642,0.493,14,2
D03068,prostate_cancer,PD1,1,1,0.593,415.8,2.08,1,1,10343,4,0.337,0.275,10,2
D03069,prostate_cancer,BRAF,0,1,0.827,567.2,2.54,0,1,6591,2,0.163,0.092,14,2
D03070,breast_cancer,mTOR,1,0,0.7,483.5,3.76,2,0,37177,9,0.846,0.633,9,3
D03071,ovarian_cancer,PD1,1,0,0.519,441.3,2.96,2,0,7538,1,0.778,0.596,11,3
D03072,lung_cancer,PD1,0,0,0.499,478.7,3.55,0,0,44016,6,0.56,0.379,12,1
D03073,breast_cancer,mTOR,1,1,0.888,527.3,2.82,2,1,29066,3,0.615,0.42,11,1
D03074,lung_cancer,BRAF,1,0,0.576,485.1,2.7,2,0,30789,10,0.804,0.603,8,2
D03075,lung_cancer,EGFR,0,1,0.58,361.8,3.21,0,1,45697,9,0.288,0.207,9,2
D03076,melanoma,mTOR,1,1,0.533,631.4,2.29,1,1,8228,4,0.326,0.27,9,1
D03077,breast_cancer,mTOR,0,1,0.532,418.2,2.3,0,0,21759,8,0.429,0.4,12,2
D03078,lung_cancer,EGFR,0,0,0.49,538.0,3.36,1,0,42475,5,0.737,0.549,12,2
D03079,lung_cancer,mTOR,1,1,0.696,467.3,2.27,2,1,40379,6,0.642,0.453,9,1
D03080,melanoma,EGFR,1,1,0.507,487.4,1.75,1,1,8040,3,0.335,0.266,11,3
D03081,ovarian_cancer,VEGF,1,0,0.873,491.5,3.7,2,0,8253,2,0.771,0.562,9,2
D03082,lung_cancer,HER2,1,1,0.567,379.9,1.77,1,0,27791,8,0.634,0.529,13,3
D03083,prostate_cancer,EGFR,0,0,0.52,606.4,2.51,0,0,9578,5,0.398,0.285,9,2
D03084,melanoma,PD1,1,1,0.88,570.9,2.88,1,1,6696,2,0.338,0.242,12,2
D03085,lung_cancer,PD1,0,1,0.689,467.0,3.35,1,1,49701,8,0.494,0.384,10,1
D03086,lung_cancer,BRAF,1,1,0.42,409.3,3.11,1,0,31716,9,0.644,0.522,10,2
D03087,ovarian_cancer,HER2,1,0,0.803,449.5,1.94,2,0,5877,4,0.739,0.536,14,2
D03088,prostate_cancer,PD1,0,1,0.839,507.0,2.79,1,0,14422,1,0.637,0.472,9,1
D03089,melanoma,ALK,0,1,0.802,467.4,2.03,0,1,5677,4,0.138,0.113,12,2
D03090,prostate_cancer,ALK,1,1,0.897,607.3,3.7,1,1,11168,5,0.331,0.224,9,1
D03091,prostate_cancer,EGFR,1,1,0.618,557.1,2.76,1,1,8531,4,0.328,0.258,14,1
D03092,lung_cancer,HER2,1,0,0.503,341.7,4.56,1,0,29270,7,0.651,0.543,13,3
D03093,melanoma,mTOR,0,0,0.411,475.1,2.4,1,0,7014,3,0.58,0.478,11,2
D03094,colon_cancer,EGFR,0,0,0.62,513.3,3.93,1,0,20787,5,0.629,0.507,14,1
