indication,target,molecular_weight,logP,traditional_time_years
leukemia,PR,344.6,3.78,10.96
bipolar_disorder,c-MET,369.8,2.25,11.98
liver_disease,MR,332.7,2.5,11.98
stomach_cancer,BRD4,528.0,3.52,12.56
arrhythmia,CTLA-4,528.3,3.52,9.23
sepsis,ER_beta,361.7,2.67,8.05
pancreatic_cancer,HER2,387.6,4.33,11.06
sepsis,GABA_A,354.3,3.89,9.48
influenza,AKT,521.4,4.83,10.24
leukemia,CDK6,417.2,3.71,11.33
stomach_cancer,HER2,632.5,2.38,13.4
pancreatic_cancer,IL-23,327.2,1.12,10.96
lymphoma,AR,507.0,1.12,13.06
bladder_cancer,ER_beta,420.2,3.44,13.79
migraine,STAT,464.8,3.43,10.18
psoriasis,JAK,467.8,4.28,11.96
leukemia,CDK4,373.8,2.32,12.48
crohns_disease,CD33,388.2,3.83,10.62
osteoporosis,GLP-1R,522.0,3.45,7.57
myocardial_infarction,HER2,544.7,1.82,9.35
gout,DNMT,583.4,4.52,10.79
obesity,PDGFR,508.8,4.78,8.49
lymphoma,IL-23,317.5,2.48,13.0
leukemia,RAS,391.2,3.72,13.92
colon_cancer,CD38,366.0,3.76,11.61
copd,c-MET,559.6,3.7,9.49
covid_19,ER_beta,472.7,2.01,8.81
breast_cancer,TOP2,382.3,4.25,10.2
migraine,GLP-1R,512.3,2.96,11.84
obesity,GABA_B,416.6,0.97,8.59
influenza,CD38,364.3,4.91,8.36
hepatitis_c,HIF,347.6,3.19,9.87
psoriasis,PD-L1,530.6,1.75,12.46
multiple_sclerosis,MYC,464.8,3.94,14.23
liver_cancer,GABA_A,451.0,5.87,10.7
alzheimers,mTOR,316.5,4.06,9.48
migraine,TNF_alpha,436.2,3.77,9.64
cardiomyopathy,PD-L1,485.3,2.27,11.33
covid_19,Wnt,468.3,1.14,9.8
type2_diabetes,PR,498.3,3.3,8.43
malaria,MEK,501.1,4.06,9.31
hyperlipidemia,GLP-1R,479.4,3.15,10.75
heart_failure,IL-13,379.5,2.29,10.57
sepsis,CD22,544.9,4.44,10.25
colon_cancer,NMDA,431.0,3.05,10.96
arthritis,ER_alpha,377.6,4.17,10.56
osteoporosis,ER_alpha,503.2,4.94,9.62
pancreatic_cancer,PI3K,379.7,2.62,11.46
malaria,CTLA-4,468.5,3.65,11.65
obesity,IGF1R,432.7,2.13,9.51
als,AMPA,520.5,3.72,10.04
colorectal_cancer,HIF,376.7,4.36,11.62
hypertension,CTLA-4,543.6,3.13,11.08
coronary_artery_disease,HER2,456.4,3.55,7.9
gout,PR,381.1,3.03,8.76
atherosclerosis,GLP-1R,277.8,3.88,8.33
arthritis,IL-23,325.1,4.5,9.8
hepatitis_b,RET,423.6,2.79,7.78
hypertension,TIM3,399.8,2.71,13.25
rheumatoid_arthritis,EGFR,563.5,0.51,13.57
hepatitis_c,IL-17,552.2,3.34,8.78
myocardial_infarction,ER_alpha,353.4,1.92,8.23
kidney_disease,BTK,584.1,2.05,9.46
parkinsons,BTK,357.7,4.14,10.86
atherosclerosis,LAG3,477.1,2.06,14.16
lymphoma,Wnt,467.3,1.97,11.86
psoriasis,HER4,538.1,4.06,11.8
leukemia,HER2,492.6,3.36,10.18
ovarian_cancer,NTRK,590.9,3.0,11.36
chronic_pain,TIM3,355.5,3.45,13.21
tuberculosis,CD47,616.9,1.99,10.54
type2_diabetes,GR,421.1,3.42,8.75
ulcerative_colitis,NTRK,445.7,2.02,9.68
colon_cancer,HER4,539.7,5.32,14.27
als,ER_alpha,465.7,2.1,11.85
fibromyalgia,MR,326.1,3.26,10.53
crohns_disease,HER3,538.3,3.48,13.0
crohns_disease,GCGR,449.8,2.41,10.5
esophageal_cancer,BCMA,362.6,3.83,15.69
leukemia,AR,523.1,1.45,10.47
chronic_pain,EGF,577.2,3.57,11.44
pancreatic_cancer,mTOR,562.0,1.66,12.09
sepsis,CDK4,340.7,2.85,9.55
als,DNMT,490.2,4.8,11.25
colorectal_cancer,ERK,506.5,2.76,13.54
depression,TOP1,367.9,4.23,13.01
thyroid_cancer,AKT,372.8,4.63,15.55
ulcerative_colitis,TOP1,427.2,4.59,14.68
hyperlipidemia,ER_beta,504.3,2.86,9.98
malaria,TOP2,408.4,2.66,7.7
brain_cancer,CD47,484.3,3.08,14.21
melanoma,EGF,402.5,2.83,12.89
lung_cancer,CD22,456.3,0.87,14.05
type2_diabetes,mTOR,486.7,2.02,8.59
osteoporosis,HER2,357.7,1.31,8.7
bipolar_disorder,TOP1,306.5,1.64,9.97
pancreatic_cancer,RAS,393.3,4.95,14.83
copd,Hedgehog,407.9,3.18,13.34
hyperlipidemia,IGF1R,482.0,3.13,11.55
alzheimers,TOP1,443.8,1.8,11.89
myocardial_infarction,GABA_A,566.1,4.81,12.15
coronary_artery_disease,HER3,315.4,1.98,9.9
type1_diabetes,PR,427.6,2.04,10.55
atherosclerosis,IL-13,490.5,2.27,9.06
bladder_cancer,CD20,623.2,4.19,14.19
hypertension,HDAC,467.0,4.03,9.22
breast_cancer,CEA,538.5,2.44,13.52
hypertension,ER_beta,384.7,3.08,11.7
arrhythmia,IGF1R,518.9,3.14,9.05
myocardial_infarction,FGFR,323.8,2.2,7.58
malaria,MEK,444.1,2.92,8.95
migraine,PR,607.8,1.61,13.65
hyperlipidemia,AP-1,490.4,4.49,7.84
hyperlipidemia,TIGIT,631.7,2.6,11.19
fibromyalgia,TOP1,489.3,3.57,8.19
copd,TIGIT,465.6,2.9,12.05
gout,AMPA,484.9,0.47,11.07
crohns_disease,c-MET,504.6,3.13,12.7
hiv_aids,HER3,432.2,5.05,9.58
liver_cancer,IL-6,396.0,2.6,14.1
thyroid_cancer,HDAC,609.3,2.17,16.03
stroke,EGFR,406.0,2.85,10.64
thyroid_cancer,PDGFR,517.3,3.21,9.85
huntingtons,VEGFR,346.6,2.47,9.17
arrhythmia,GLP-1R,401.4,2.92,12.13
als,CD20,484.1,3.42,12.17
influenza,AKT,307.9,4.06,9.13
celiac_disease,MYC,470.2,4.38,12.56
migraine,VEGFR,485.5,4.1,10.17
colon_cancer,MYC,487.3,4.35,14.33
tuberculosis,ALK,491.8,2.9,9.65
coronary_artery_disease,GR,631.8,3.89,12.02
hypertension,IL-23,495.9,1.72,9.0
schizophrenia,Wnt,346.9,3.29,12.82
coronary_artery_disease,SGLT2,461.6,2.39,11.03
malaria,ER_beta,461.3,4.59,7.05
melanoma,IL-13,505.6,1.86,11.05
ulcerative_colitis,TIM3,441.1,2.2,11.13
multiple_sclerosis,ER_beta,419.0,2.59,12.95
insomnia,CD22,411.8,1.74,12.0
type1_diabetes,EGF,439.8,2.44,12.94
bladder_cancer,CDK4,215.6,5.05,13.03
hiv_aids,AMPA,537.1,2.62,9.87
heart_failure,AP-1,451.5,1.83,8.34
schizophrenia,FGFR,585.7,4.9,14.39
hepatitis_c,5-HT2A,462.5,4.02,7.66
arthritis,OX40,464.0,1.66,9.0
epilepsy,CD22,417.1,3.13,13.01
brain_cancer,Wnt,413.6,2.78,12.86
kidney_cancer,ROS1,442.7,2.92,13.29
breast_cancer,GLP-1R,454.2,1.94,13.1
liver_disease,IL-1,392.6,1.72,10.99
thyroid_cancer,GR,528.2,0.89,10.48
tuberculosis,IL-23,542.3,4.39,10.59
insomnia,MYC,425.8,0.4,11.11
insomnia,TOP1,421.1,2.94,8.51
colon_cancer,IL-1,369.2,2.48,10.98
arrhythmia,ER_alpha,572.4,3.66,11.65
als,IL-4,376.0,1.4,12.9
copd,CD19,423.8,2.79,10.25
osteoporosis,DNMT,489.7,2.46,10.91
fibromyalgia,VEGFR,490.9,4.94,13.62
kidney_cancer,GPC3,515.2,2.95,9.93
lymphoma,EGFR,435.3,2.64,11.85
breast_cancer,NTRK,544.5,2.37,11.56
heart_failure,MR,453.6,3.05,8.48
heart_failure,AP-1,409.9,1.63,8.96
obesity,CD20,475.8,2.94,9.55
influenza,AP-1,490.0,2.47,10.49
malaria,EGFR,547.7,2.12,7.64
atherosclerosis,OX40,587.0,1.25,8.01
ulcerative_colitis,VEGFR,484.8,3.48,9.41
schizophrenia,PI3K,386.4,3.42,11.43
cervical_cancer,CD33,552.4,0.78,14.89
gout,mTOR,490.2,0.51,7.87
arthritis,HER2,372.7,4.63,12.06
psoriasis,GLP-1R,403.5,1.83,13.42
bipolar_disorder,OX40,434.2,5.07,11.85
fibromyalgia,BTK,303.5,1.95,8.67
als,GLP-1R,569.8,4.86,11.94
arthritis,p53,441.7,1.76,11.34
heart_failure,TOP2,617.7,4.59,10.23
hypertension,GLP-1R,504.3,2.19,7.65
bladder_cancer,ER_beta,446.1,2.84,11.78
epilepsy,TOP1,476.5,4.45,10.58
bladder_cancer,CD20,520.4,1.92,13.2
als,CD30,560.1,3.31,11.65
crohns_disease,DNMT,505.0,4.47,10.21
malaria,BTK,361.1,2.96,7.79
melanoma,NTRK,407.5,1.43,13.58
cervical_cancer,CD38,477.7,5.51,13.52
obesity,PD-1,302.8,2.97,9.86
cervical_cancer,Hedgehog,501.2,3.12,15.11
atherosclerosis,JAK,440.9,1.7,11.41
stomach_cancer,IL-4,468.6,2.24,12.39
cardiomyopathy,IL-23,274.8,4.19,10.12
huntingtons,TGF_beta,526.7,3.05,13.67
thyroid_cancer,GIPR,468.3,4.07,11.0
arthritis,HER3,467.9,3.9,8.35
cervical_cancer,CD19,426.2,4.31,12.99
osteoporosis,GABA_B,475.7,3.19,10.03
arrhythmia,GCGR,348.4,3.29,10.83
hiv_aids,MYC,383.4,2.36,9.25
breast_cancer,IL-1,384.8,1.93,12.42
adhd,TOP1,620.0,4.33,10.82
migraine,CD19,603.6,1.78,12.81
bladder_cancer,HIF,455.7,1.71,14.5
melanoma,EGFR,394.3,2.08,13.7
crohns_disease,ROS1,549.2,2.6,13.28
colon_cancer,MR,535.5,3.6,14.22
breast_cancer,GPC3,634.3,1.52,13.66
lymphoma,ER_beta,550.7,4.15,13.85
alzheimers,GCGR,372.1,4.01,9.9
osteoporosis,MEK,476.9,2.77,8.46
hypertension,AMPA,384.1,2.28,7.93
stroke,CDK6,614.0,3.0,10.57
anxiety,HER3,512.6,2.21,11.51
atherosclerosis,c-MET,387.6,4.08,8.47
pneumonia,HIF,342.0,2.58,10.93
breast_cancer,MYC,452.7,3.11,10.96
ovarian_cancer,mTOR,435.7,3.4,10.12
breast_cancer,HER2,505.4,3.73,13.82
psoriasis,ROS1,371.1,2.72,10.12
influenza,ERK,545.6,3.89,7.89
schizophrenia,Hedgehog,340.2,3.35,10.54
hepatitis_c,BRAF,291.7,3.05,6.66
celiac_disease,NF-kB,601.8,2.05,12.98
melanoma,GABA_A,383.3,3.76,9.79
anxiety,GPC3,326.6,2.37,9.35
esophageal_cancer,PDGFR,497.7,2.37,12.23
stroke,GLP-1R,431.1,3.74,8.84
adhd,NOTCH,483.7,3.27,14.03
obesity,LAG3,422.9,3.37,10.45
heart_failure,NF-kB,440.1,3.46,8.09
covid_19,AMPA,410.2,2.82,10.54
depression,BRAF,370.8,2.96,9.91
gout,GPC3,385.1,1.89,8.62
hepatitis_b,MYC,470.7,3.21,12.76
als,AR,512.6,2.57,10.97
epilepsy,AR,482.6,3.55,9.94
multiple_sclerosis,RET,485.6,2.17,10.14
prostate_cancer,CEA,461.9,3.36,13.76
kidney_cancer,BCMA,450.6,0.91,14.97
hepatitis_c,PD-L1,462.8,5.21,11.13
hypertension,ER_beta,421.2,2.27,11.21
tuberculosis,ER_alpha,479.9,3.31,7.72
copd,RAS,545.4,1.74,12.34
esophageal_cancer,PD-L1,508.5,3.59,12.39
stroke,NMDA,438.6,3.34,11.32
adhd,NMDA,532.4,3.87,11.05
breast_cancer,OX40,358.6,3.82,10.23
myocardial_infarction,TNF_alpha,444.8,3.07,8.5
tuberculosis,5-HT2A,455.9,2.85,9.47
arthritis,CD22,545.3,2.92,11.99
brain_cancer,IL-6,360.4,2.61,12.78
hiv_aids,NOTCH,464.3,4.23,10.23
stomach_cancer,5-HT1A,498.2,2.15,12.26
hyperlipidemia,CDK4,648.8,3.26,8.45
lymphoma,ALK,552.0,2.85,11.89
migraine,OX40,492.7,3.84,8.91
breast_cancer,CD22,547.5,4.06,12.58
esophageal_cancer,FGF,519.8,2.68,13.01
ovarian_cancer,FGFR,404.3,3.33,11.49
celiac_disease,OX40,524.7,2.78,12.83
osteoporosis,GPC3,535.2,4.45,10.13
hepatitis_b,TNF_alpha,376.7,2.16,6.61
hyperlipidemia,AMPA,438.8,3.31,8.7
heart_failure,5-HT1A,408.0,4.35,8.49
epilepsy,DNMT,483.9,3.04,13.09
coronary_artery_disease,TNF_alpha,335.1,1.68,9.47
psoriasis,D2,472.5,0.87,13.51
malaria,PDGFR,531.0,2.84,10.13
alzheimers,p53,709.4,5.31,16.13
rheumatoid_arthritis,IL-13,435.5,2.89,13.72
liver_disease,NTRK,529.6,4.7,10.2
liver_cancer,TIGIT,319.0,1.21,12.59
asthma,CTLA-4,400.2,3.58,13.31
thyroid_cancer,FGF,489.7,4.07,11.7
hepatitis_b,NOTCH,354.0,0.68,14.57
obesity,ROS1,518.6,2.17,9.39
ovarian_cancer,NOTCH,288.5,3.15,14.98
heart_failure,BRD4,513.5,2.88,8.68
hiv_aids,ALK,413.4,2.84,7.75
type1_diabetes,5-HT1A,420.4,1.65,11.62
lymphoma,ROS1,392.8,3.52,11.03
osteoporosis,GIPR,475.7,3.17,7.71
kidney_disease,DNMT,370.4,2.82,10.78
depression,5-HT2A,275.8,3.18,8.45
lupus,FGF,564.3,1.53,9.36
type2_diabetes,GIPR,403.1,3.33,10.8
prostate_cancer,GLP-1R,550.2,2.55,10.95
liver_cancer,TIGIT,394.6,1.03,14.16
insomnia,DNMT,458.3,5.04,11.9
brain_cancer,GLP-1R,472.2,2.98,11.53
type1_diabetes,SGLT2,475.8,2.99,11.63
malaria,GPC3,385.0,3.82,11.03
cardiomyopathy,ALK,468.1,3.02,11.0
hypertension,CD33,372.0,4.3,11.11
lupus,HER2,503.2,2.45,9.3
lupus,VEGFPARP,530.1,2.5,12.35
lung_cancer,D2,387.4,2.24,14.75
leukemia,VEGFR,308.3,3.47,11.31
arrhythmia,RAS,303.5,1.77,10.73
breast_cancer,ER_alpha,284.0,2.91,11.85
thyroid_cancer,GABA_B,438.0,2.67,12.65
celiac_disease,IL-4,366.6,1.83,11.43
myocardial_infarction,5-HT2A,487.1,2.45,9.26
coronary_artery_disease,IL-4,475.3,2.11,9.44
malaria,Wnt,464.5,4.3,10.9
brain_cancer,BRD4,496.9,2.59,10.49
lymphoma,GABA_B,470.6,2.76,13.5
influenza,TNF_alpha,450.6,2.67,9.5
hepatitis_c,DNMT,436.9,3.21,7.77
cardiomyopathy,NMDA,370.5,1.98,11.59
sepsis,MR,338.9,1.4,9.49
obesity,TOP1,352.6,3.16,9.48
rheumatoid_arthritis,SGLT2,378.6,3.51,11.77
pancreatic_cancer,HER2,452.8,1.03,11.27
chronic_pain,RAS,502.4,3.81,10.63
malaria,PD-1,370.5,3.42,9.49
osteoporosis,FGFR,381.5,3.1,9.61
gout,CDK6,348.8,1.21,8.01
cervical_cancer,TNF_alpha,419.4,2.88,10.69
autism,IL-13,418.2,1.82,9.05
colorectal_cancer,GIPR,418.0,3.27,10.22
esophageal_cancer,EGF,446.4,3.18,11.63
pneumonia,Wnt,396.4,4.17,11.58
adhd,JAK,355.9,3.49,11.4
hyperlipidemia,LAG3,544.6,3.48,12.44
lymphoma,VEGFPARP,433.8,2.47,11.68
anxiety,LAG3,532.9,1.58,13.76
alzheimers,PR,372.4,2.6,9.98
kidney_disease,Hedgehog,549.0,3.38,10.16
lupus,Wnt,372.6,2.69,13.93
myocardial_infarction,AP-1,400.9,2.29,10.42
pancreatic_cancer,PI3K,528.3,1.63,14.87
lung_cancer,ERK,578.7,3.83,11.44
colorectal_cancer,IL-23,537.3,2.54,9.87
type2_diabetes,VEGFPARP,438.0,1.57,10.56
esophageal_cancer,mTOR,408.0,3.49,11.93
type1_diabetes,IL-13,553.7,1.89,12.24
malaria,IL-1,420.8,2.85,10.01
cardiomyopathy,TIGIT,338.3,3.59,12.27
arrhythmia,HDAC,392.1,2.8,11.8
covid_19,GLP-1R,413.8,2.21,9.36
lymphoma,MYC,449.4,2.78,13.42
liver_cancer,D2,420.3,2.27,10.24
hepatitis_b,CD19,475.6,4.65,12.35
melanoma,BTK,461.2,4.0,12.94
als,ALK,338.8,3.16,9.26
breast_cancer,CD30,362.2,1.52,12.93
crohns_disease,TOP2,390.9,4.19,11.47
insomnia,DNMT,526.0,3.24,8.1
stomach_cancer,EGF,327.4,2.8,12.62
lupus,STAT,474.1,3.18,10.49
depression,SGLT2,302.5,2.11,9.06
migraine,EGF,444.9,3.54,9.01
lung_cancer,5-HT1A,274.3,2.84,11.87
insomnia,PDGFR,461.4,3.85,8.67
asthma,NTRK,505.4,3.58,11.2
adhd,TIGIT,386.0,1.09,11.79
liver_disease,p53,418.6,4.0,10.31
liver_disease,HIF,561.5,3.71,11.34
obesity,NOTCH,484.3,3.38,9.42
crohns_disease,GIPR,405.5,2.87,9.85
obesity,IL-23,583.5,2.06,11.04
autism,PDGFR,579.2,2.68,9.77
ulcerative_colitis,p53,556.0,1.59,14.88
pneumonia,PI3K,496.9,2.26,7.5
hepatitis_b,Wnt,336.8,3.22,10.48
depression,CD33,530.8,2.16,11.74
bipolar_disorder,ROS1,330.1,2.91,10.9
alzheimers,ALK,443.0,3.55,9.14
parkinsons,5-HT1A,526.0,2.94,11.5
alzheimers,BCR-ABL,598.4,3.22,14.41
pneumonia,NF-kB,422.3,1.39,8.19
multiple_sclerosis,CEA,429.0,2.66,10.89
cardiomyopathy,GR,526.8,3.46,8.44
arrhythmia,CD22,355.7,3.17,13.11
sepsis,BRD4,503.7,4.53,11.2
colorectal_cancer,NMDA,521.0,3.76,12.5
esophageal_cancer,GPC3,454.8,3.39,11.45
fibromyalgia,CD38,550.0,1.67,7.89
leukemia,FGFR,422.0,2.23,13.08
bipolar_disorder,JAK,480.3,4.23,11.04
liver_disease,IL-6,402.2,0.61,11.12
melanoma,TOP1,417.0,3.91,11.41
migraine,c-MET,493.0,3.43,11.58
hiv_aids,PR,427.6,1.72,9.31
schizophrenia,GABA_B,491.2,2.17,10.29
anxiety,RAS,624.7,3.57,13.01
rheumatoid_arthritis,PD-1,403.5,2.39,9.74
ulcerative_colitis,5-HT2A,442.6,2.76,9.05
ulcerative_colitis,HER3,539.3,3.19,9.01
breast_cancer,RAS,391.5,4.89,13.96
ovarian_cancer,HER3,453.9,3.77,13.72
insomnia,TNF_alpha,401.3,3.36,8.17
leukemia,NTRK,474.9,1.11,11.76
type1_diabetes,IL-4,611.2,4.29,10.94
celiac_disease,CD20,418.2,1.9,15.34
copd,VEGFPARP,477.8,3.09,9.11
prostate_cancer,BRAF,478.5,3.19,14.92
hypertension,GPC3,490.5,4.45,9.63
malaria,CEA,495.4,1.95,8.82
hyperlipidemia,Wnt,559.0,4.64,11.22
insomnia,CDK6,702.2,1.88,11.28
osteoporosis,BCR-ABL,469.4,0.92,10.21
psoriasis,p53,494.3,2.45,12.44
type1_diabetes,OX40,603.9,2.23,10.39
heart_failure,IL-6,314.9,2.53,11.36
adhd,GABA_A,292.0,3.75,9.9
anxiety,BCR-ABL,284.8,3.03,10.66
bladder_cancer,CTLA-4,283.8,2.68,13.54
heart_failure,RET,581.5,3.36,10.35
cardiomyopathy,GIPR,380.9,2.97,9.75
multiple_sclerosis,VEGFR,451.4,3.47,11.36
gout,GLP-1R,340.7,3.59,7.86
rheumatoid_arthritis,CDK6,233.6,2.37,11.36
cardiomyopathy,CTLA-4,410.9,3.63,10.1
esophageal_cancer,CD20,451.8,1.59,14.35
malaria,NTRK,371.2,3.2,7.35
celiac_disease,5-HT1A,443.7,2.42,11.26
sepsis,HER4,411.5,3.7,11.5
brain_cancer,AKT,408.6,2.91,12.05
fibromyalgia,ER_alpha,623.6,1.58,10.14
bipolar_disorder,FGFR,301.9,3.78,10.84
chronic_pain,5-HT2A,395.7,2.68,10.78
schizophrenia,NF-kB,387.5,2.74,10.27
copd,CD38,577.9,3.8,10.93
fibromyalgia,FGFR,519.0,1.58,10.83
liver_disease,AKT,357.9,0.16,10.56
adhd,Hedgehog,385.2,3.96,12.22
cardiomyopathy,VEGFPARP,491.4,2.78,7.78
thyroid_cancer,IL-6,448.2,2.31,10.16
arthritis,GCGR,466.4,3.77,10.16
adhd,GR,320.7,3.3,10.73
autism,p53,524.6,2.58,14.35
prostate_cancer,BTK,506.1,5.81,11.94
cardiomyopathy,NMDA,441.7,3.39,9.63
leukemia,BCR-ABL,391.0,3.18,14.34
lymphoma,5-HT1A,486.8,3.19,11.14
pneumonia,PI3K,368.4,3.21,9.47
influenza,PDGFR,567.0,3.45,10.27
pneumonia,TIGIT,527.0,2.76,9.63
alzheimers,BCMA,510.0,3.28,14.21
heart_failure,GPC3,373.9,3.32,10.71
pneumonia,AKT,370.7,2.37,7.57
osteoporosis,c-MET,465.1,3.3,10.35
asthma,MYC,354.9,4.05,13.1
insomnia,LAG3,495.8,2.3,10.64
type1_diabetes,HGF,327.0,2.86,11.74
coronary_artery_disease,TOP2,414.3,3.11,7.83
asthma,CD33,421.0,0.99,12.95
migraine,BRD4,418.9,2.69,12.91
hepatitis_c,c-MET,500.7,2.3,6.85
stomach_cancer,GCGR,584.3,1.09,13.94
myocardial_infarction,CD33,554.9,2.78,8.36
colon_cancer,Wnt,518.8,3.08,13.39
anxiety,TOP1,541.2,2.61,9.99
atherosclerosis,RET,362.1,4.42,10.51
leukemia,HDAC,440.9,3.22,9.15
hepatitis_b,FGF,548.8,1.97,9.17
insomnia,GABA_B,497.6,2.41,8.35
asthma,TNF_alpha,439.4,3.07,9.57
colon_cancer,c-MET,330.0,2.22,11.38
cervical_cancer,IL-6,558.1,3.89,10.49
ulcerative_colitis,HER3,445.0,3.24,11.4
huntingtons,AR,426.5,4.36,11.94
anxiety,ALK,434.0,3.23,11.02
arthritis,CD22,541.7,2.22,10.96
melanoma,HGF,574.7,1.47,12.43
colorectal_cancer,VEGFR,580.4,2.63,11.01
kidney_cancer,AKT,430.6,1.11,11.3
kidney_cancer,PD-1,413.6,1.96,12.77
pancreatic_cancer,BCMA,401.4,2.86,16.9
esophageal_cancer,IL-13,526.6,3.21,11.92
lymphoma,VEGFR,474.6,1.9,11.61
copd,CD20,379.5,4.8,14.77
colorectal_cancer,STAT,391.2,4.66,14.44
copd,FGFR,430.6,3.0,9.38
cervical_cancer,GIPR,535.6,4.27,12.59
thyroid_cancer,p53,441.1,2.61,15.18
kidney_cancer,PD-1,445.5,3.34,10.93
ovarian_cancer,HER2,521.3,3.0,12.75
kidney_cancer,mTOR,499.5,4.64,12.64
als,CD19,480.5,3.31,11.82
stomach_cancer,CTLA-4,328.5,0.37,16.65
influenza,CD20,481.1,2.91,12.14
insomnia,TIM3,408.8,3.24,10.53
type1_diabetes,MR,445.2,4.13,11.95
alzheimers,AKT,456.9,2.25,12.37
alzheimers,PI3K,529.2,2.78,10.71
migraine,GCGR,492.1,2.52,11.24
liver_disease,VEGFR,398.0,3.08,9.2
adhd,ROS1,451.0,3.48,9.86
prostate_cancer,ER_beta,428.5,1.16,10.69
stroke,AP-1,415.4,3.79,9.1
rheumatoid_arthritis,VEGFR,426.2,2.75,10.52
psoriasis,LAG3,528.9,2.29,14.54
malaria,GLP-1R,326.6,2.84,9.31
gout,OX40,411.3,2.03,9.94
chronic_pain,LAG3,436.0,3.49,10.57
migraine,mTOR,449.3,3.31,12.81
depression,ROS1,595.1,2.66,13.37
osteoporosis,VEGFR,472.3,2.49,9.82
breast_cancer,PI3K,382.3,2.42,12.19
myocardial_infarction,GCGR,411.7,3.36,9.77
sepsis,VEGFR,637.9,2.28,12.33
kidney_cancer,HGF,416.7,2.94,13.82
lupus,c-MET,481.7,3.26,11.05
autism,GABA_B,552.7,0.57,10.77
bladder_cancer,TOP2,259.0,2.5,9.74
lupus,PDGFR,537.8,1.43,11.69
autism,CTLA-4,209.4,3.57,10.79
migraine,BCMA,469.5,1.91,10.28
alzheimers,CD33,371.2,2.03,12.28
stomach_cancer,HIF,458.8,2.37,10.97
type2_diabetes,CD38,489.5,0.15,12.0
bipolar_disorder,NOTCH,381.5,1.87,10.12
colorectal_cancer,BRD4,429.5,2.46,13.16
fibromyalgia,HGF,513.8,1.14,11.47
hyperlipidemia,HGF,453.6,3.56,6.74
esophageal_cancer,ALK,598.5,2.52,14.91
hepatitis_c,IL-23,476.0,1.2,9.62
bladder_cancer,MYC,258.6,3.84,13.82
bipolar_disorder,PD-L1,449.6,4.18,13.1
lupus,VEGFPARP,340.1,3.52,10.84
esophageal_cancer,GPC3,599.5,3.42,11.66
copd,MYC,472.1,3.01,10.72
cervical_cancer,IL-23,324.3,4.36,11.3
autism,OX40,401.1,3.5,9.92
arthritis,BRAF,325.0,1.82,9.94
stroke,5-HT2A,564.8,2.65,7.53
autism,IL-13,566.3,2.92,11.49
pancreatic_cancer,GIPR,302.6,3.89,9.52
insomnia,AR,402.8,3.7,11.41
hiv_aids,TGF_beta,452.0,1.46,7.94
psoriasis,BCR-ABL,463.1,5.2,14.34
covid_19,MR,489.4,2.94,9.19
copd,AKT,536.0,3.21,11.25
fibromyalgia,ROS1,466.8,1.91,7.92
obesity,NF-kB,468.7,4.04,8.54
depression,NTRK,383.1,4.42,9.54
chronic_pain,IL-17,442.7,2.11,10.8
tuberculosis,OX40,529.8,2.71,8.02
hypertension,PDGFR,510.8,2.71,11.58
alzheimers,GIPR,445.2,3.49,11.6
leukemia,BCMA,473.3,1.0,12.14
arrhythmia,OX40,360.3,3.93,11.42
lymphoma,TOP2,439.4,2.48,11.97
fibromyalgia,CDK4,341.3,1.92,7.82
atherosclerosis,EGFR,288.3,2.9,8.9
anxiety,EGF,402.1,2.03,10.35
pneumonia,CD19,444.6,3.36,12.3
malaria,GABA_B,617.5,1.49,10.01
melanoma,GPC3,542.8,3.97,13.44
stomach_cancer,CD33,387.7,3.2,10.56
fibromyalgia,ALK,413.4,3.19,10.57
pancreatic_cancer,GIPR,570.7,3.61,10.99
atherosclerosis,TGF_beta,490.7,2.57,11.17
pancreatic_cancer,Wnt,331.3,2.79,12.96
cardiomyopathy,LAG3,546.5,1.47,11.17
liver_disease,OX40,365.6,3.13,8.72
brain_cancer,IL-6,371.2,2.21,13.36
liver_cancer,GABA_A,416.1,1.63,11.59
hepatitis_c,LAG3,372.1,3.7,10.46
insomnia,AP-1,345.4,1.4,11.38
bipolar_disorder,GABA_A,399.6,3.73,11.54
copd,CD19,434.2,2.54,10.09
anxiety,SGLT2,453.5,1.25,13.09
melanoma,CDK6,489.6,3.38,11.3
osteoporosis,mTOR,417.3,4.01,10.54
kidney_disease,RAS,359.8,4.13,10.71
arthritis,DNMT,462.4,2.66,11.96
kidney_cancer,TGF_beta,448.4,2.89,12.72
osteoporosis,GCGR,547.6,1.92,8.32
kidney_disease,TOP1,389.0,4.04,9.81
rheumatoid_arthritis,D2,402.4,3.9,10.53
alzheimers,Hedgehog,586.0,2.6,11.79
prostate_cancer,HER3,504.5,1.85,13.13
celiac_disease,IL-13,510.4,3.2,8.42
cardiomyopathy,ERK,487.8,2.35,11.21
epilepsy,CD19,317.1,3.5,14.44
breast_cancer,VEGFR,284.9,2.68,13.35
kidney_disease,PDGFR,525.3,3.19,8.35
epilepsy,Hedgehog,605.9,4.03,14.89
hiv_aids,mTOR,397.7,3.03,10.4
stomach_cancer,ALK,446.2,1.42,12.9
prostate_cancer,HER2,374.8,2.44,13.87
leukemia,BCR-ABL,287.1,3.05,14.11
fibromyalgia,HER3,430.1,1.33,9.15
leukemia,LAG3,482.3,3.72,15.71
multiple_sclerosis,MR,468.2,2.68,12.04
