indication,target,molecular_weight,logP,toxicity_label
depression,PD-L1,452.46,0.671,1
ovarian_cancer,5-HT1A,432.012,2.071,0
copd,TNF_alpha,555.66,3.169,0
schizophrenia,D2,498.017,3.958,0
psoriasis,SGLT2,391.194,4.667,0
breast_cancer,BRAF,474.627,5.068,1
melanoma,NMDA,504.118,2.731,0
asthma,VEGF,441.84,2.158,0
lymphoma,NMDA,447.86,4.456,1
type2_diabetes,VEGF,402.014,1.441,1
colorectal_cancer,PD1,474.787,3.661,1
lymphoma,TNF_alpha,372.737,2.461,0
ovarian_cancer,PD-L1,327.837,2.497,0
copd,mTOR,417.002,2.261,0
breast_cancer,5-HT1A,292.026,2.251,0
depression,VEGF,471.794,3.417,0
schizophrenia,TNF_alpha,397.327,3.462,0
depression,BRAF,537.369,2.452,0
schizophrenia,NMDA,478.882,3.968,0
lymphoma,NMDA,553.261,5.588,1
melanoma,ALK,491.174,2.623,0
type2_diabetes,GLP-1R,332.361,1.737,0
prostate_cancer,PD-L1,504.177,1.92,1
lymphoma,BRAF,579.503,3.416,1
rheumatoid_arthritis,SGLT2,539.668,2.476,0
rheumatoid_arthritis,BRAF,575.899,3.457,0
schizophrenia,SGLT2,419.197,1.132,0
obesity,D2,456.366,3.759,0
schizophrenia,5-HT1A,511.158,2.02,0
colorectal_cancer,PD-L1,429.416,4.082,0
psoriasis,ALK,329.963,2.653,0
asthma,BRAF,428.207,4.234,1
migraine,VEGF,429.186,2.344,0
lung_cancer,SGLT2,329.197,2.779,0
obesity,PD-1,371.244,2.549,0
breast_cancer,GLP-1R,536.736,3.21,0
rheumatoid_arthritis,NMDA,321.238,2.303,0
schizophrenia,PD-1,406.899,2.745,0
rheumatoid_arthritis,D2,548.038,2.817,0
colorectal_cancer,GLP-1R,388.261,2.502,0
asthma,NMDA,522.947,2.331,1
ovarian_cancer,IL-6,422.225,3.771,0
type2_diabetes,PD-1,476.923,3.915,0
colorectal_cancer,ALK,313.848,2.439,0
depression,TNF_alpha,470.866,2.975,0
copd,PD1,428.016,0.799,0
colorectal_cancer,HER2,540.918,2.087,1
lung_cancer,GIPR,463.406,4.162,1
colorectal_cancer,PD-L1,383.671,1.395,0
lung_cancer,SGLT2,305.437,2.725,0
lung_cancer,NMDA,399.721,2.707,0
colorectal_cancer,PD1,434.781,1.503,0
breast_cancer,D2,501.413,3.804,0
rheumatoid_arthritis,SGLT2,350.62,1.874,0
type2_diabetes,EGFR,441.081,4.442,0
schizophrenia,5-HT1A,484.531,3.74,0
type2_diabetes,ALK,485.696,3.019,1
psoriasis,TNF_alpha,498.699,2.443,0
type2_diabetes,GABA_A,502.776,1.927,0
depression,EGFR,517.384,3.023,1
colorectal_cancer,PD-L1,418.001,1.97,1
obesity,VEGF,343.544,0.822,0
prostate_cancer,PD1,537.368,1.524,0
lymphoma,HER2,469.17,3.733,0
prostate_cancer,NMDA,454.981,2.188,0
migraine,SGLT2,354.979,2.603,0
copd,EGFR,450.318,3.592,0
psoriasis,VEGF,327.477,4.15,1
migraine,mTOR,343.267,2.716,0
obesity,mTOR,388.865,3.876,0
lung_cancer,GIPR,399.263,1.954,0
lung_cancer,IL-6,404.375,1.821,0
ovarian_cancer,EGFR,204.308,3.778,1
depression,VEGF,435.792,3.656,0
obesity,D2,333.465,2.578,0
ovarian_cancer,mTOR,458.565,2.655,0
schizophrenia,PD1,483.486,3.36,0
migraine,PD1,477.346,2.94,0
asthma,VEGF,394.191,2.046,0
colorectal_cancer,5-HT1A,510.453,2.778,0
prostate_cancer,EGFR,504.431,2.862,0
breast_cancer,ALK,475.597,1.593,0
lung_cancer,HER2,441.875,2.518,1
depression,IL-6,528.083,4.399,1
melanoma,EGFR,437.65,2.139,0
breast_cancer,IL-6,447.073,3.66,0
lung_cancer,mTOR,449.022,4.587,0
breast_cancer,PD-1,473.483,3.249,1
rheumatoid_arthritis,D2,456.877,2.413,0
lymphoma,mTOR,420.131,2.5,1
prostate_cancer,GLP-1R,240.468,1.709,0
type2_diabetes,IL-6,411.415,4.099,1
breast_cancer,PD-L1,544.734,4.036,1
prostate_cancer,PD1,259.255,3.745,1
obesity,mTOR,340.089,3.967,0
breast_cancer,5-HT1A,417.118,4.022,1
melanoma,GIPR,337.1,2.863,0
rheumatoid_arthritis,GLP-1R,439.716,2.348,0
ovarian_cancer,mTOR,576.502,2.593,1
lung_cancer,GIPR,463.232,1.618,1
migraine,SGLT2,473.645,3.289,0
depression,BRAF,365.902,0.468,0
depression,GABA_A,387.055,2.216,0
type2_diabetes,D2,460.845,3.729,0
prostate_cancer,ALK,429.834,3.672,1
psoriasis,HER2,490.367,3.627,1
melanoma,EGFR,499.129,0.745,0
depression,HER2,390.325,2.338,0
asthma,NMDA,400.309,3.862,0
rheumatoid_arthritis,EGFR,539.491,3.013,0
breast_cancer,EGFR,432.428,2.355,1
obesity,ALK,555.241,3.21,1
migraine,TNF_alpha,486.914,4.301,1
ovarian_cancer,BRAF,365.549,2.646,0
obesity,VEGF,501.787,1.372,0
lymphoma,GABA_A,547.916,2.802,0
type2_diabetes,BRAF,585.863,0.686,1
type2_diabetes,GABA_A,410.643,4.328,1
psoriasis,mTOR,566.1,2.261,0
prostate_cancer,BRAF,444.914,1.549,1
ovarian_cancer,GLP-1R,511.662,3.049,0
lung_cancer,NMDA,366.358,2.974,0
obesity,PD-1,481.858,2.748,1
migraine,GIPR,452.519,3.69,0
type2_diabetes,TNF_alpha,414.244,3.337,1
asthma,D2,449.777,2.467,0
ovarian_cancer,SGLT2,411.772,1.877,0
lymphoma,GLP-1R,396.549,3.193,0
breast_cancer,NMDA,473.763,1.726,0
prostate_cancer,D2,581.483,3.391,0
prostate_cancer,HER2,419.45,4.506,1
migraine,5-HT1A,544.892,4.54,0
type2_diabetes,PD-1,467.953,3.502,0
type2_diabetes,VEGF,539.995,1.257,0
rheumatoid_arthritis,TNF_alpha,334.515,3.687,0
breast_cancer,IL-6,432.89,3.97,1
lung_cancer,NMDA,436.481,3.769,0
type2_diabetes,BRAF,521.894,3.038,1
colorectal_cancer,GABA_A,464.704,2.586,0
asthma,BRAF,533.088,3.093,0
lung_cancer,GIPR,387.877,2.967,0
psoriasis,D2,481.229,2.846,0
lung_cancer,mTOR,609.509,2.545,0
psoriasis,BRAF,587.273,2.902,1
copd,5-HT1A,569.072,4.112,0
rheumatoid_arthritis,NMDA,390.761,3.865,1
breast_cancer,BRAF,526.272,3.826,0
colon_cancer,ALK,616.777,1.992,1
depression,HER2,424.441,3.543,1
colon_cancer,GLP-1R,223.358,4.359,0
melanoma,PD1,577.924,3.563,0
prostate_cancer,SGLT2,565.824,3.939,1
prostate_cancer,PD1,315.462,2.704,0
obesity,5-HT1A,530.822,2.956,0
prostate_cancer,D2,418.726,3.242,0
asthma,BRAF,450.589,1.521,0
breast_cancer,BRAF,560.839,2.553,1
ovarian_cancer,VEGF,311.579,4.334,0
colorectal_cancer,IL-6,544.393,5.07,1
migraine,BRAF,344.483,3.02,1
migraine,SGLT2,363.26,3.123,0
prostate_cancer,PD-L1,373.905,2.658,0
asthma,TNF_alpha,403.872,2.262,0
depression,mTOR,550.412,2.502,0
lymphoma,EGFR,407.155,2.243,1
prostate_cancer,mTOR,476.532,1.953,0
migraine,EGFR,472.832,3.14,1
migraine,PD-1,418.008,2.255,1
asthma,mTOR,437.017,2.975,0
copd,D2,454.67,2.396,0
breast_cancer,5-HT1A,638.142,2.448,1
prostate_cancer,mTOR,388.124,4.899,1
colon_cancer,IL-6,305.735,3.267,0
lung_cancer,PD-1,518.539,3.398,0
lung_cancer,PD1,478.941,3.32,1
type2_diabetes,EGFR,486.04,2.738,0
depression,GABA_A,399.805,3.073,0
lymphoma,HER2,415.29,4.722,1
lung_cancer,D2,495.399,1.966,0
depression,ALK,414.163,1.785,0
rheumatoid_arthritis,mTOR,340.554,1.894,0
colon_cancer,IL-6,438.41,3.043,1
colon_cancer,HER2,419.672,3.716,0
colorectal_cancer,GIPR,496.348,4.412,1
schizophrenia,NMDA,350.341,3.523,0
ovarian_cancer,EGFR,308.476,3.367,1
lymphoma,D2,489.215,3.755,0
migraine,BRAF,448.568,2.024,0
lung_cancer,NMDA,268.44,2.791,0
schizophrenia,SGLT2,434.337,1.958,0
obesity,IL-6,527.324,2.324,0
copd,PD-1,452.354,3.517,0
obesity,PD1,403.078,2.814,1
depression,5-HT1A,458.577,2.681,0
obesity,GLP-1R,325.354,5.833,1
lymphoma,PD1,505.807,2.164,0
melanoma,PD-1,337.136,3.364,1
copd,NMDA,452.335,3.698,0
schizophrenia,SGLT2,517.931,1.725,0
rheumatoid_arthritis,PD-1,438.953,3.591,1
migraine,TNF_alpha,675.279,0.609,0
colorectal_cancer,GABA_A,319.956,0.493,0
colon_cancer,HER2,436.265,3.443,0
copd,mTOR,697.864,2.742,0
lung_cancer,HER2,480.307,3.695,1
colon_cancer,BRAF,544.175,3.137,0
asthma,VEGF,440.038,0.662,0
asthma,PD-L1,538.257,4.442,0
lung_cancer,ALK,374.331,3.26,0
melanoma,mTOR,255.175,3.684,0
schizophrenia,EGFR,438.67,2.157,0
ovarian_cancer,PD-L1,452.698,3.269,1
lymphoma,IL-6,398.055,2.72,1
copd,SGLT2,402.248,1.326,0
type2_diabetes,VEGF,308.844,3.291,0
colon_cancer,PD-L1,361.745,3.821,0
ovarian_cancer,VEGF,503.81,4.771,0
asthma,GLP-1R,351.786,2.409,0
depression,VEGF,333.473,4.866,0
copd,SGLT2,507.68,2.455,0
depression,GABA_A,300.496,3.415,0
copd,TNF_alpha,469.451,2.53,0
ovarian_cancer,ALK,377.455,4.572,0
lymphoma,TNF_alpha,272.114,2.482,0
lymphoma,BRAF,536.588,1.742,0
melanoma,PD-1,423.216,1.206,0
lymphoma,ALK,437.308,3.218,0
lung_cancer,VEGF,397.723,2.613,0
ovarian_cancer,PD-L1,341.202,4.228,1
schizophrenia,SGLT2,320.576,3.381,0
breast_cancer,ALK,457.71,1.984,0
obesity,D2,503.783,1.5,1
type2_diabetes,HER2,338.728,2.518,0
melanoma,mTOR,268.716,2.649,0
depression,PD-L1,338.752,1.553,0
prostate_cancer,PD-1,486.077,4.007,1
colon_cancer,VEGF,531.796,2.467,0
melanoma,PD-L1,453.003,4.092,1
lymphoma,VEGF,617.326,2.965,0
prostate_cancer,PD-1,437.843,4.06,1
ovarian_cancer,TNF_alpha,435.301,1.902,0
schizophrenia,5-HT1A,583.708,2.099,0
type2_diabetes,EGFR,458.083,3.47,1
rheumatoid_arthritis,GABA_A,431.206,2.106,0
lymphoma,BRAF,537.089,3.209,0
type2_diabetes,HER2,501.671,1.901,1
lung_cancer,EGFR,463.045,1.937,1
depression,GABA_A,309.81,2.139,0
ovarian_cancer,D2,470.297,2.103,0
lymphoma,PD1,372.664,2.204,0
obesity,D2,437.373,2.464,0
schizophrenia,TNF_alpha,583.875,3.442,1
schizophrenia,GIPR,558.597,4.792,1
depression,PD1,344.33,3.771,0
asthma,GLP-1R,426.634,2.596,0
breast_cancer,EGFR,489.431,3.834,1
depression,EGFR,362.108,1.283,0
type2_diabetes,ALK,460.928,3.025,0
copd,ALK,506.245,2.472,1
depression,HER2,440.149,3.603,1
depression,VEGF,626.674,2.406,0
prostate_cancer,5-HT1A,452.791,1.624,0
migraine,BRAF,498.237,3.795,1
lung_cancer,SGLT2,477.036,2.408,0
schizophrenia,TNF_alpha,441.305,2.622,1
depression,GLP-1R,485.759,2.361,0
psoriasis,EGFR,473.436,1.798,1
depression,VEGF,469.189,3.486,0
melanoma,GABA_A,457.542,1.964,0
obesity,SGLT2,577.232,2.431,0
colon_cancer,GLP-1R,489.888,3.754,1
prostate_cancer,PD-L1,370.135,3.519,1
copd,D2,427.207,3.64,0
asthma,GIPR,487.436,1.83,0
type2_diabetes,VEGF,396.845,1.973,0
psoriasis,EGFR,432.868,3.837,0
colorectal_cancer,GABA_A,297.391,2.452,0
schizophrenia,ALK,445.302,3.447,1
type2_diabetes,D2,355.799,3.226,0
colon_cancer,TNF_alpha,624.285,3.194,1
copd,mTOR,522.405,2.866,0
asthma,PD1,649.375,2.725,0
type2_diabetes,PD1,441.137,2.709,0
ovarian_cancer,ALK,292.756,2.413,0
type2_diabetes,PD1,392.096,2.488,0
lymphoma,TNF_alpha,335.854,3.069,0
prostate_cancer,PD-1,392.84,3.153,0
colorectal_cancer,PD1,515.619,3.817,1
copd,HER2,427.689,5.053,1
schizophrenia,GLP-1R,458.766,2.584,0
colon_cancer,IL-6,270.732,3.006,0
psoriasis,HER2,560.174,4.02,1
lung_cancer,5-HT1A,544.714,2.308,0
asthma,VEGF,455.961,4.026,1
colorectal_cancer,VEGF,573.066,3.481,1
asthma,PD-L1,453.946,3.722,1
lung_cancer,NMDA,377.364,2.961,0
psoriasis,PD-1,383.145,4.097,1
colorectal_cancer,EGFR,422.695,3.535,1
psoriasis,HER2,464.798,3.453,1
melanoma,mTOR,364.235,4.302,0
psoriasis,PD-1,343.075,4.337,0
melanoma,PD-L1,454.403,2.524,1
lung_cancer,PD1,547.704,3.134,0
schizophrenia,GABA_A,346.253,2.343,0
ovarian_cancer,mTOR,471.14,2.96,0
schizophrenia,HER2,481.876,3.245,0
migraine,PD-1,436.984,2.129,1
prostate_cancer,EGFR,581.709,5.542,1
colorectal_cancer,GLP-1R,468.643,2.282,1
rheumatoid_arthritis,GABA_A,499.967,1.899,0
colorectal_cancer,GIPR,359.326,3.35,0
type2_diabetes,PD-L1,422.418,1.128,1
obesity,mTOR,492.737,2.273,0
breast_cancer,GABA_A,373.689,3.453,0
prostate_cancer,5-HT1A,433.441,1.969,0
colon_cancer,EGFR,382.303,3.883,1
schizophrenia,PD1,440.842,3.148,0
colon_cancer,BRAF,433.746,2.228,1
melanoma,GLP-1R,543.745,4.498,0
ovarian_cancer,BRAF,384.136,2.747,0
breast_cancer,PD-L1,599.488,3.035,1
prostate_cancer,VEGF,356.28,1.759,0
migraine,ALK,537.192,2.429,1
depression,TNF_alpha,223.415,4.16,0
rheumatoid_arthritis,5-HT1A,448.675,3.683,0
lung_cancer,VEGF,556.209,5.209,0
migraine,GIPR,601.375,2.116,1
breast_cancer,VEGF,410.881,2.384,0
type2_diabetes,GLP-1R,507.967,3.448,0
depression,ALK,331.407,2.624,0
ovarian_cancer,GLP-1R,461.474,3.872,0
asthma,GABA_A,344.829,1.227,0
colon_cancer,HER2,540.876,2.846,1
prostate_cancer,PD-1,506.895,1.078,0
prostate_cancer,PD-L1,419.481,1.68,0
lung_cancer,VEGF,629.068,2.061,0
asthma,BRAF,527.132,2.695,0
colon_cancer,mTOR,391.832,2.898,0
migraine,mTOR,483.344,4.167,1
ovarian_cancer,PD-1,366.83,2.984,0
melanoma,GLP-1R,536.64,1.924,0
lung_cancer,SGLT2,446.78,1.108,0
prostate_cancer,5-HT1A,335.534,2.523,0
melanoma,GABA_A,331.967,4.023,1
psoriasis,VEGF,405.819,1.903,0
colorectal_cancer,mTOR,457.059,3.974,0
colon_cancer,VEGF,357.035,4.582,0
migraine,NMDA,622.779,1.139,1
colorectal_cancer,VEGF,411.876,1.695,0
melanoma,mTOR,363.126,2.69,0
melanoma,SGLT2,428.755,4.37,0
prostate_cancer,TNF_alpha,487.34,3.79,1
lymphoma,NMDA,491.66,2.672,0
rheumatoid_arthritis,SGLT2,392.019,2.125,0
asthma,TNF_alpha,473.296,2.636,0
colorectal_cancer,HER2,533.508,2.979,0
colon_cancer,PD-L1,399.488,3.053,0
lymphoma,GLP-1R,513.332,1.881,0
obesity,PD1,432.678,2.061,0
ovarian_cancer,VEGF,381.779,3.562,0
asthma,HER2,401.607,3.498,1
lymphoma,IL-6,490.417,4.406,1
colon_cancer,PD-L1,404.424,2.642,1
obesity,BRAF,305.728,4.093,0
depression,TNF_alpha,561.181,1.655,1
obesity,PD-1,419.02,1.903,0
lung_cancer,HER2,563.313,3.773,1
depression,GIPR,462.083,2.36,0
schizophrenia,GIPR,455.867,3.969,0
lymphoma,GLP-1R,427.703,3.264,0
melanoma,GIPR,421.012,3.742,0
lymphoma,GIPR,641.354,2.233,0
lymphoma,PD-1,522.817,2.816,1
copd,D2,366.829,3.421,1
colorectal_cancer,BRAF,353.264,3.057,1
schizophrenia,5-HT1A,514.846,3.901,1
breast_cancer,TNF_alpha,402.463,2.384,1
ovarian_cancer,NMDA,424.511,1.544,1
schizophrenia,HER2,430.686,4.467,1
schizophrenia,GABA_A,486.118,3.988,0
type2_diabetes,HER2,375.669,1.866,0
prostate_cancer,GLP-1R,380.356,2.32,0
copd,ALK,526.705,4.128,0
type2_diabetes,PD1,460.085,3.778,0
schizophrenia,mTOR,385.158,3.857,0
breast_cancer,VEGF,615.902,2.214,0
ovarian_cancer,PD-L1,538.106,3.716,1
depression,SGLT2,384.584,5.204,1
colorectal_cancer,VEGF,548.672,2.992,0
rheumatoid_arthritis,NMDA,335.911,2.527,0
asthma,5-HT1A,408.652,3.619,0
lung_cancer,PD-L1,406.994,4.123,1
colorectal_cancer,NMDA,414.539,2.711,1
ovarian_cancer,HER2,427.606,2.509,1
depression,mTOR,461.122,2.955,1
melanoma,GLP-1R,415.436,4.808,0
melanoma,TNF_alpha,438.507,2.835,1
obesity,PD-1,527.869,3.624,1
depression,TNF_alpha,356.442,2.279,0
psoriasis,GIPR,617.242,3.822,0
psoriasis,PD-1,283.83,2.765,0
ovarian_cancer,PD-L1,311.37,4.901,1
melanoma,SGLT2,521.869,4.125,1
depression,EGFR,499.943,1.575,1
lymphoma,D2,430.293,0.699,0
melanoma,GLP-1R,420.584,2.54,0
psoriasis,PD-L1,539.512,4.274,1
lung_cancer,EGFR,617.899,1.615,1
copd,TNF_alpha,522.524,3.072,0
asthma,GABA_A,429.488,1.663,0
psoriasis,TNF_alpha,408.786,2.873,1
copd,VEGF,348.648,3.439,0
obesity,TNF_alpha,517.401,3.755,1
migraine,HER2,372.369,4.728,0
breast_cancer,PD-L1,377.775,3.809,0
colorectal_cancer,GABA_A,303.315,3.26,0
breast_cancer,GIPR,476.409,2.186,0
melanoma,TNF_alpha,509.01,2.294,1
colorectal_cancer,SGLT2,443.42,3.306,0
obesity,HER2,437.816,2.359,1
ovarian_cancer,PD-1,305.7,3.331,0
melanoma,PD-1,527.283,4.357,1
asthma,PD1,489.316,2.771,0
colorectal_cancer,PD-1,468.221,1.351,1
lung_cancer,mTOR,405.953,3.51,1
depression,IL-6,336.645,1.332,1
ovarian_cancer,NMDA,399.706,0.382,0
type2_diabetes,TNF_alpha,410.754,2.85,1
rheumatoid_arthritis,BRAF,342.373,2.719,0
prostate_cancer,IL-6,444.91,4.415,1
rheumatoid_arthritis,EGFR,339.333,3.902,0
depression,NMDA,414.824,2.405,1
psoriasis,PD-L1,269.777,3.336,1
colon_cancer,BRAF,319.225,1.96,0
depression,NMDA,329.478,1.996,0
lymphoma,NMDA,499.365,1.318,0
obesity,IL-6,419.539,1.731,1
melanoma,PD-L1,571.002,1.868,0
melanoma,SGLT2,382.022,2.517,0
ovarian_cancer,VEGF,284.306,3.993,0
rheumatoid_arthritis,PD1,303.625,3.616,0
depression,GABA_A,499.054,3.385,0
asthma,EGFR,505.457,0.972,0
lymphoma,HER2,469.021,2.004,1
colon_cancer,GIPR,431.76,1.593,0
depression,PD-L1,381.785,3.191,1
colorectal_cancer,D2,526.64,3.664,0
colon_cancer,TNF_alpha,487.805,2.219,1
breast_cancer,5-HT1A,444.684,2.642,0
prostate_cancer,VEGF,361.622,3.659,0
colon_cancer,D2,535.23,2.742,0
melanoma,EGFR,453.946,3.209,1
colon_cancer,PD-L1,352.142,4.425,1
migraine,GLP-1R,366.915,4.292,0
lymphoma,IL-6,461.634,2.296,1
rheumatoid_arthritis,EGFR,455.468,4.7,1
copd,VEGF,422.147,2.925,0
depression,5-HT1A,521.642,1.26,0
breast_cancer,PD-1,422.855,2.959,0
obesity,TNF_alpha,490.094,3.011,1
rheumatoid_arthritis,mTOR,496.314,3.46,0
melanoma,mTOR,432.202,3.068,1
rheumatoid_arthritis,EGFR,395.146,3.82,1
depression,SGLT2,407.686,2.508,0
psoriasis,VEGF,472.404,0.325,0
migraine,PD-1,325.689,4.567,0
schizophrenia,mTOR,481.297,3.582,1
lymphoma,BRAF,361.858,2.985,0
rheumatoid_arthritis,IL-6,427.56,1.597,0
ovarian_cancer,PD1,438.816,3.122,1
melanoma,EGFR,441.349,4.112,1
migraine,5-HT1A,547.434,3.48,0
asthma,VEGF,434.536,4.472,1
copd,PD-1,210.849,1.91,1
migraine,TNF_alpha,467.471,4.289,1
asthma,TNF_alpha,490.261,2.965,1
schizophrenia,IL-6,621.441,2.53,1
asthma,PD1,339.485,3.221,0
migraine,GLP-1R,470.299,1.207,0
asthma,mTOR,479.959,2.591,0
ovarian_cancer,GIPR,428.404,1.457,0
psoriasis,mTOR,425.306,4.545,1
psoriasis,PD-L1,379.599,3.269,0
lymphoma,GABA_A,287.26,1.758,0
prostate_cancer,PD-L1,302.779,4.328,0
lymphoma,HER2,482.117,1.548,0
colon_cancer,PD1,346.842,3.058,0
lymphoma,VEGF,414.192,3.652,0
melanoma,IL-6,385.222,3.188,1
melanoma,PD1,523.443,3.687,1
lung_cancer,BRAF,351.906,5.197,1
depression,EGFR,449.899,3.601,1
migraine,D2,537.163,5.365,0
rheumatoid_arthritis,SGLT2,454.882,1.378,0
melanoma,TNF_alpha,479.232,2.961,0
lung_cancer,NMDA,362.781,2.858,0
asthma,EGFR,479.883,4.455,1
breast_cancer,mTOR,468.629,1.865,0
asthma,GABA_A,418.529,2.238,0
colorectal_cancer,IL-6,427.919,2.661,1
melanoma,EGFR,418.231,2.959,1
rheumatoid_arthritis,5-HT1A,323.63,2.409,0
lymphoma,BRAF,371.735,4.798,0
copd,5-HT1A,499.835,4.81,1
schizophrenia,GIPR,470.58,2.656,0
obesity,PD1,477.736,2.315,0
migraine,TNF_alpha,348.457,4.536,1
ovarian_cancer,SGLT2,468.501,2.915,1
breast_cancer,NMDA,516.653,2.37,1
colon_cancer,EGFR,417.513,1.411,1
breast_cancer,HER2,392.401,2.076,0
prostate_cancer,BRAF,458.523,2.906,1
schizophrenia,GABA_A,469.27,2.334,0
lung_cancer,HER2,461.501,2.915,1
prostate_cancer,5-HT1A,524.884,3.777,0
colorectal_cancer,GLP-1R,324.11,3.081,0
prostate_cancer,SGLT2,424.779,3.268,0
lymphoma,ALK,349.975,3.211,0
lung_cancer,SGLT2,309.565,2.305,0
colorectal_cancer,VEGF,511.966,3.179,0
lung_cancer,TNF_alpha,491.655,1.92,1
prostate_cancer,IL-6,360.555,4.164,0
obesity,GABA_A,545.287,2.853,0
breast_cancer,mTOR,357.23,2.745,0
type2_diabetes,D2,416.926,3.032,0
melanoma,TNF_alpha,504.773,4.07,1
migraine,GIPR,564.745,3.285,0
ovarian_cancer,ALK,383.559,2.598,1
lung_cancer,D2,533.872,2.919,0
lymphoma,PD1,532.729,3.592,0
obesity,5-HT1A,476.67,0.507,0
depression,HER2,339.458,1.44,0
colorectal_cancer,PD-L1,366.413,4.784,1
lymphoma,5-HT1A,412.401,3.195,0
breast_cancer,TNF_alpha,499.196,3.51,0
copd,PD-1,473.245,3.74,1
colon_cancer,GLP-1R,684.832,1.972,1
depression,TNF_alpha,440.462,3.92,0
colon_cancer,NMDA,324.561,1.508,0
breast_cancer,ALK,502.772,2.577,0
ovarian_cancer,EGFR,373.631,3.518,0
colorectal_cancer,EGFR,442.648,2.825,1
schizophrenia,GLP-1R,428.836,3.366,0
obesity,mTOR,535.646,2.915,0
ovarian_cancer,SGLT2,615.138,3.158,1
lung_cancer,5-HT1A,449.816,2.988,1
prostate_cancer,PD-1,473.778,4.667,1
copd,HER2,473.221,0.847,1
breast_cancer,TNF_alpha,582.046,2.371,1
rheumatoid_arthritis,mTOR,436.653,1.811,0
migraine,mTOR,362.25,3.822,0
schizophrenia,GIPR,432.772,3.993,1
depression,mTOR,546.155,3.009,0
ovarian_cancer,NMDA,328.068,3.714,1
rheumatoid_arthritis,HER2,528.115,1.868,1
depression,BRAF,320.319,2.302,0
type2_diabetes,EGFR,433.984,4.399,1
rheumatoid_arthritis,IL-6,543.453,3.372,1
melanoma,mTOR,374.084,2.093,0
ovarian_cancer,SGLT2,284.088,1.239,0
asthma,VEGF,377.174,3.695,0
prostate_cancer,GABA_A,336.07,2.544,0
asthma,PD-1,383.008,0.893,0
lymphoma,NMDA,412.47,2.596,1
colon_cancer,mTOR,292.837,1.519,0
prostate_cancer,GIPR,688.324,2.889,0
type2_diabetes,TNF_alpha,380.566,3.557,0
copd,IL-6,449.418,1.874,0
obesity,PD1,436.172,2.564,0
obesity,D2,473.467,4.826,0
colorectal_cancer,VEGF,480.878,1.823,0
colon_cancer,ALK,312.265,3.798,0
copd,GABA_A,399.102,2.435,0
breast_cancer,GIPR,350.138,3.837,0
colorectal_cancer,TNF_alpha,645.298,3.437,1
lung_cancer,D2,386.565,5.461,0
breast_cancer,PD-L1,360.367,2.245,0
schizophrenia,VEGF,585.466,3.031,0
melanoma,ALK,462.113,2.707,1
ovarian_cancer,GLP-1R,527.941,1.75,0
colon_cancer,5-HT1A,604.669,3.257,1
lung_cancer,TNF_alpha,291.28,2.954,1
colon_cancer,SGLT2,407.876,1.678,1
breast_cancer,PD-1,396.637,4.556,0
psoriasis,PD-1,342.22,2.101,0
breast_cancer,HER2,381.091,3.845,0
type2_diabetes,ALK,464.959,2.956,0
colon_cancer,IL-6,585.347,4.545,1
colon_cancer,GIPR,399.338,2.903,0
type2_diabetes,D2,354.638,3.016,0
colorectal_cancer,GLP-1R,350.441,3.45,0
prostate_cancer,GIPR,417.081,3.541,0
lung_cancer,VEGF,446.697,1.525,0
lymphoma,GABA_A,472.079,5.042,1
psoriasis,D2,483.795,2.534,0
ovarian_cancer,SGLT2,428.671,2.02,0
psoriasis,D2,381.231,2.109,0
depression,GABA_A,497.403,2.883,0
prostate_cancer,VEGF,395.077,4.163,0
obesity,GABA_A,415.548,3.806,1
rheumatoid_arthritis,PD-1,362.927,5.561,1
obesity,mTOR,417.246,3.231,0
obesity,PD-1,484.588,2.283,0
psoriasis,PD1,367.301,2.725,0
obesity,GLP-1R,444.618,1.925,0
lung_cancer,PD-L1,439.216,1.304,1
melanoma,PD-1,520.317,3.481,1
rheumatoid_arthritis,SGLT2,429.981,2.682,0
prostate_cancer,5-HT1A,415.682,3.965,0
breast_cancer,IL-6,504.228,4.646,1
asthma,VEGF,302.919,3.898,0
copd,IL-6,530.796,1.668,0
asthma,IL-6,332.802,2.332,0
lymphoma,GIPR,577.832,2.353,0
obesity,5-HT1A,663.352,3.097,1
melanoma,mTOR,457.74,2.407,1
type2_diabetes,mTOR,489.911,2.658,0
copd,D2,468.404,3.123,0
breast_cancer,SGLT2,403.723,2.923,1
ovarian_cancer,EGFR,411.623,2.97,1
copd,HER2,364.717,2.948,0
ovarian_cancer,GLP-1R,459.465,2.306,0
lymphoma,HER2,557.934,3.024,1
migraine,BRAF,392.568,4.709,1
prostate_cancer,GIPR,344.765,4.309,1
colon_cancer,NMDA,481.307,2.165,0
schizophrenia,GABA_A,427.849,2.328,0
schizophrenia,D2,482.854,1.622,0
migraine,ALK,448.205,2.942,1
prostate_cancer,BRAF,539.062,3.939,1
breast_cancer,NMDA,399.532,2.702,0
ovarian_cancer,PD1,427.652,2.996,0
psoriasis,D2,512.815,1.222,0
lymphoma,5-HT1A,437.163,3.527,1
prostate_cancer,ALK,506.597,3.777,1
migraine,VEGF,566.722,4.34,1
breast_cancer,NMDA,473.31,3.032,1
copd,NMDA,485.026,3.326,0
type2_diabetes,GLP-1R,447.192,2.146,0
copd,ALK,432.888,4.252,1
prostate_cancer,SGLT2,405.458,3.033,0
type2_diabetes,BRAF,423.433,3.318,1
