indication,target,efficacy_label
cervical_cancer,MYC,1
adhd,NF-kB,0
hepatitis_c,STAT,1
hepatitis_b,HIF,0
colon_cancer,IL-13,1
hiv_aids,CD20,0
epilepsy,IGF1R,1
colorectal_cancer,LAG3,2
bladder_cancer,BTK,0
chronic_pain,NOTCH,0
bipolar_disorder,IL-1,1
osteoporosis,TGF_beta,1
obesity,GABA_B,1
parkinsons,MR,1
stroke,JAK,2
colorectal_cancer,PD-1,0
rheumatoid_arthritis,CD33,2
type1_diabetes,PDGFR,0
gout,NF-kB,1
coronary_artery_disease,RET,0
cervical_cancer,TIM3,2
celiac_disease,CD30,1
kidney_cancer,AP-1,2
cervical_cancer,IL-1,0
migraine,GR,0
anxiety,CD47,0
pancreatic_cancer,AR,2
leukemia,GLP-1R,0
stroke,5-HT1A,0
lymphoma,BCR-ABL,2
pancreatic_cancer,NTRK,2
psoriasis,HGF,1
sepsis,TIM3,0
colon_cancer,PD-1,2
psoriasis,mTOR,1
liver_disease,BTK,1
ovarian_cancer,IL-17,0
obesity,HGF,1
prostate_cancer,GIPR,1
covid_19,ALK,1
leukemia,RET,2
bladder_cancer,DNMT,2
asthma,ROS1,1
sepsis,PD-1,2
cervical_cancer,c-MET,2
depression,AKT,0
fibromyalgia,FGFR,2
prostate_cancer,BRD4,2
liver_disease,IL-4,1
stroke,AKT,0
depression,JAK,0
ulcerative_colitis,HER2,1
brain_cancer,CD22,2
covid_19,GLP-1R,0
huntingtons,BTK,0
ovarian_cancer,p53,1
liver_disease,D2,0
atherosclerosis,GR,0
liver_cancer,CD47,1
liver_disease,GABA_B,0
cervical_cancer,AR,0
hepatitis_c,PARP,1
tuberculosis,IL-17,2
hypertension,BCMA,0
ovarian_cancer,BCR-ABL,1
ovarian_cancer,VEGF,0
alzheimers,GCGR,1
breast_cancer,FGFR,2
chronic_pain,GR,1
psoriasis,BRD4,2
tuberculosis,EGFR,1
colorectal_cancer,IL-1,1
covid_19,FGFR,1
parkinsons,RET,1
adhd,NMDA,2
kidney_cancer,Wnt,2
adhd,BCMA,2
stomach_cancer,GCGR,1
multiple_sclerosis,HIF,2
gout,STAT,2
insomnia,AP-1,0
autism,GR,0
cervical_cancer,CD38,2
influenza,MEK,0
tuberculosis,HER2,2
lupus,VEGF,0
psoriasis,GCGR,0
liver_disease,HGF,0
lung_cancer,AKT,2
colon_cancer,VEGFR,2
sepsis,5-HT1A,2
crohns_disease,IL-6,2
stroke,IL-23,1
bipolar_disorder,PI3K,0
prostate_cancer,p53,0
multiple_sclerosis,TIGIT,1
crohns_disease,5-HT2A,0
migraine,DNMT,1
heart_failure,AKT,1
malaria,DNMT,0
kidney_disease,ER_alpha,0
thyroid_cancer,IGF1R,0
thyroid_cancer,TIM3,1
esophageal_cancer,VEGF,0
influenza,ROS1,1
covid_19,RAS,0
crohns_disease,BCR-ABL,2
autism,CD33,0
hepatitis_b,PD1,1
influenza,DNMT,2
alzheimers,p53,1
huntingtons,RET,2
adhd,LAG3,1
asthma,HER3,1
ovarian_cancer,GIPR,0
type2_diabetes,NMDA,1
type2_diabetes,AP-1,2
heart_failure,AR,0
pancreatic_cancer,PI3K,1
adhd,IL-23,0
bladder_cancer,SGLT2,2
heart_failure,LAG3,2
hiv_aids,EGF,0
leukemia,BCR-ABL,2
breast_cancer,ALK,1
anxiety,TGF_beta,1
lung_cancer,GABA_A,0
sepsis,FGF,2
asthma,HER4,1
hepatitis_c,BRAF,1
prostate_cancer,CD19,2
cervical_cancer,BRD4,2
arrhythmia,IL-13,0
autism,CD33,0
prostate_cancer,BCMA,1
pneumonia,BCR-ABL,0
atherosclerosis,RET,0
multiple_sclerosis,IL-4,0
ovarian_cancer,ER_beta,2
als,NF-kB,0
parkinsons,TOP1,1
lupus,Wnt,2
anxiety,NF-kB,1
epilepsy,CD20,0
autism,TGF_beta,1
epilepsy,SGLT2,0
type1_diabetes,GABA_A,0
stomach_cancer,TOP1,1
hiv_aids,CD38,1
atherosclerosis,CD33,0
pneumonia,PD-L1,2
malaria,HDAC,1
colorectal_cancer,CD47,1
lupus,GPC3,1
als,PD1,1
colorectal_cancer,BCMA,1
asthma,LAG3,0
esophageal_cancer,VEGF,2
autism,HGF,0
sepsis,NMDA,1
lung_cancer,STAT,2
lung_cancer,TNF_alpha,0
lung_cancer,CDK6,0
arthritis,PARP,0
adhd,VEGF,0
hepatitis_b,NMDA,1
hepatitis_c,NTRK,1
lung_cancer,IL-13,0
depression,5-HT1A,1
bipolar_disorder,Hedgehog,0
celiac_disease,CD47,1
epilepsy,TOP2,1
melanoma,AP-1,2
esophageal_cancer,EGF,0
heart_failure,GABA_B,1
lupus,RAS,1
esophageal_cancer,AKT,1
hyperlipidemia,CD19,0
colon_cancer,IL-13,1
celiac_disease,HGF,2
leukemia,NF-kB,1
migraine,c-MET,0
ulcerative_colitis,TOP1,2
autism,CD30,0
chronic_pain,DNMT,0
multiple_sclerosis,IL-1,1
parkinsons,VEGF,0
arthritis,TNF_alpha,1
kidney_cancer,CDK4,1
asthma,TOP2,1
chronic_pain,PD-L1,2
stroke,EGFR,1
sepsis,c-MET,1
covid_19,PD-L1,0
type1_diabetes,IL-1,1
schizophrenia,CTLA-4,0
migraine,PDGFR,1
thyroid_cancer,NOTCH,1
osteoporosis,VEGF,2
arrhythmia,EGFR,0
esophageal_cancer,MYC,2
obesity,ERK,0
multiple_sclerosis,SGLT2,0
migraine,GABA_A,1
colon_cancer,BRD4,1
type2_diabetes,Hedgehog,0
arthritis,NMDA,1
lupus,LAG3,1
pneumonia,IL-6,0
thyroid_cancer,HER2,1
anxiety,CTLA-4,1
hyperlipidemia,VEGFR,0
bladder_cancer,GPC3,2
type1_diabetes,PR,1
influenza,ER_beta,0
bipolar_disorder,IGF1R,0
esophageal_cancer,HER4,1
lung_cancer,GABA_A,0
influenza,DNMT,1
colon_cancer,PR,2
als,GR,0
lymphoma,IL-4,2
als,NOTCH,1
copd,IL-23,0
fibromyalgia,NOTCH,0
schizophrenia,NMDA,1
bladder_cancer,HER2,2
parkinsons,JAK,0
psoriasis,RET,0
colon_cancer,SGLT2,2
leukemia,5-HT2A,1
malaria,HGF,0
parkinsons,IL-4,1
kidney_disease,HER3,1
arrhythmia,CD38,0
lung_cancer,ROS1,2
obesity,IL-13,0
obesity,BCR-ABL,1
epilepsy,NOTCH,0
psoriasis,VEGF,2
brain_cancer,CEA,0
crohns_disease,AMPA,2
stroke,ALK,0
autism,IL-17,0
hepatitis_b,GPC3,1
autism,NF-kB,0
type2_diabetes,5-HT2A,0
ovarian_cancer,IL-23,0
celiac_disease,CD33,1
stomach_cancer,BCR-ABL,1
fibromyalgia,CD33,2
leukemia,MEK,2
sepsis,CDK6,1
leukemia,TGF_beta,0
rheumatoid_arthritis,GIPR,0
colorectal_cancer,MYC,0
osteoporosis,TIM3,2
ulcerative_colitis,HER4,2
stroke,NF-kB,1
arthritis,BTK,0
rheumatoid_arthritis,HIF,2
kidney_disease,IL-23,1
crohns_disease,JAK,1
pneumonia,NF-kB,0
depression,ROS1,0
arthritis,FGF,2
coronary_artery_disease,GIPR,2
kidney_cancer,mTOR,2
gout,PARP,1
cervical_cancer,IL-1,0
cardiomyopathy,PD-1,1
liver_disease,IL-6,1
huntingtons,EGFR,1
schizophrenia,ALK,0
schizophrenia,IL-13,0
osteoporosis,DNMT,0
als,GABA_A,0
colon_cancer,HER3,2
schizophrenia,OX40,1
bladder_cancer,RAS,2
prostate_cancer,CD38,1
influenza,CDK6,0
alzheimers,TIM3,0
kidney_cancer,CD30,2
obesity,CEA,0
als,p53,0
prostate_cancer,Hedgehog,1
arrhythmia,p53,1
prostate_cancer,AR,2
type2_diabetes,VEGFR,1
cardiomyopathy,IL-17,1
prostate_cancer,AR,2
asthma,IL-13,1
hiv_aids,IL-1,2
esophageal_cancer,BTK,0
anxiety,5-HT2A,1
epilepsy,mTOR,0
breast_cancer,mTOR,1
covid_19,AP-1,1
cardiomyopathy,HER3,0
epilepsy,TOP1,0
obesity,LAG3,0
gout,CD20,0
crohns_disease,5-HT2A,1
liver_cancer,5-HT2A,0
rheumatoid_arthritis,ER_alpha,0
influenza,Wnt,1
arthritis,BCR-ABL,2
ovarian_cancer,GR,1
thyroid_cancer,CD20,2
covid_19,GABA_A,2
liver_disease,TOP2,1
colon_cancer,HER4,1
liver_cancer,mTOR,1
lung_cancer,AKT,2
psoriasis,IL-13,1
hepatitis_b,PD-1,1
als,ER_beta,0
cervical_cancer,HDAC,0
parkinsons,FGFR,1
atherosclerosis,CD38,0
kidney_cancer,EGF,0
fibromyalgia,VEGFR,0
prostate_cancer,HER4,0
liver_cancer,VEGFR,2
arthritis,PD1,1
pancreatic_cancer,VEGFR,2
anxiety,ER_beta,2
lung_cancer,HGF,0
asthma,mTOR,2
heart_failure,TIM3,2
type2_diabetes,HER3,0
adhd,BCR-ABL,2
autism,DNMT,0
colorectal_cancer,EGFR,0
crohns_disease,TGF_beta,1
fibromyalgia,FGF,1
parkinsons,NMDA,1
esophageal_cancer,FGFR,1
hiv_aids,GR,0
psoriasis,VEGF,0
stomach_cancer,BRD4,2
melanoma,IL-23,0
sepsis,MR,1
pneumonia,CDK4,2
stomach_cancer,AKT,2
parkinsons,BRD4,1
kidney_disease,TIGIT,1
crohns_disease,GABA_A,0
leukemia,NF-kB,1
stomach_cancer,BRAF,1
sepsis,EGF,0
epilepsy,5-HT1A,0
tuberculosis,IL-1,1
pancreatic_cancer,IL-23,2
migraine,IL-17,1
bipolar_disorder,IL-6,2
cervical_cancer,IL-17,2
coronary_artery_disease,DNMT,1
huntingtons,HIF,1
stroke,VEGF,1
atherosclerosis,Wnt,0
parkinsons,FGFR,0
arrhythmia,IGF1R,1
anxiety,mTOR,1
hyperlipidemia,TIM3,1
colorectal_cancer,GABA_A,0
coronary_artery_disease,5-HT2A,0
brain_cancer,VEGFR,2
myocardial_infarction,IL-23,1
bladder_cancer,PD1,2
parkinsons,CEA,2
huntingtons,GR,1
multiple_sclerosis,TGF_beta,0
ovarian_cancer,BTK,0
lymphoma,CD47,1
fibromyalgia,IL-23,1
adhd,CEA,2
adhd,CD19,0
pancreatic_cancer,PDGFR,1
insomnia,MEK,0
migraine,D2,2
esophageal_cancer,OX40,1
celiac_disease,MYC,2
gout,D2,0
depression,DNMT,0
ovarian_cancer,MR,1
cardiomyopathy,VEGF,0
kidney_cancer,BRD4,1
influenza,BCR-ABL,0
hepatitis_c,NTRK,1
breast_cancer,5-HT2A,0
adhd,mTOR,1
arthritis,CD19,0
adhd,IL-13,1
hypertension,OX40,1
lupus,TIM3,1
migraine,HGF,2
hepatitis_c,IGF1R,1
multiple_sclerosis,TNF_alpha,0
malaria,HER4,2
adhd,NF-kB,2
osteoporosis,CD38,0
cervical_cancer,PDGFR,1
hiv_aids,IL-1,1
sepsis,PD-L1,1
epilepsy,5-HT1A,2
liver_disease,AKT,1
arthritis,HER3,1
hepatitis_b,TIM3,1
bladder_cancer,HIF,1
sepsis,c-MET,2
breast_cancer,IL-17,0
epilepsy,CD47,2
tuberculosis,AMPA,0
brain_cancer,GR,2
schizophrenia,CEA,2
celiac_disease,NTRK,2
hepatitis_c,FGFR,0
brain_cancer,CD20,1
anxiety,CDK6,2
liver_disease,IL-17,1
heart_failure,GABA_A,1
cervical_cancer,mTOR,0
stroke,BTK,1
lung_cancer,ER_alpha,2
autism,VEGFR,0
multiple_sclerosis,Wnt,2
pneumonia,ER_beta,0
celiac_disease,GPC3,0
brain_cancer,HGF,1
epilepsy,CD22,1
chronic_pain,HER2,2
adhd,HDAC,0
epilepsy,IL-17,2
liver_cancer,IGF1R,2
chronic_pain,PD1,1
heart_failure,CD20,0
rheumatoid_arthritis,HER2,0
kidney_cancer,ER_alpha,1
rheumatoid_arthritis,CD47,2
colorectal_cancer,mTOR,2
arrhythmia,TIGIT,0
tuberculosis,CD30,0
stomach_cancer,TOP2,2
thyroid_cancer,GPC3,2
multiple_sclerosis,BCMA,2
lung_cancer,CDK4,2
fibromyalgia,ER_alpha,1
asthma,CTLA-4,2
obesity,GR,2
coronary_artery_disease,AKT,1
lupus,LAG3,2
lymphoma,IL-23,0
ulcerative_colitis,GLP-1R,0
epilepsy,RAS,0
chronic_pain,HER3,1
asthma,GR,1
coronary_artery_disease,SGLT2,0
stomach_cancer,GPC3,2
fibromyalgia,ERK,2
esophageal_cancer,Wnt,0
cardiomyopathy,p53,1
colorectal_cancer,IL-13,2
parkinsons,p53,2
atherosclerosis,CD19,0
sepsis,CTLA-4,2
cervical_cancer,PD-L1,2
pneumonia,CDK4,1
osteoporosis,FGFR,0
hepatitis_c,IL-23,1
crohns_disease,Wnt,2
brain_cancer,NMDA,2
multiple_sclerosis,GIPR,1
prostate_cancer,IL-1,0
celiac_disease,BRD4,0
type1_diabetes,ER_alpha,0
stomach_cancer,GIPR,1
breast_cancer,TGF_beta,0
stomach_cancer,VEGFR,2
kidney_disease,SGLT2,0
liver_disease,BCR-ABL,1
depression,IL-4,2
alzheimers,IL-23,1
ulcerative_colitis,OX40,0
cervical_cancer,EGFR,2
cervical_cancer,D2,2
depression,5-HT1A,1
liver_cancer,CD30,0
fibromyalgia,Wnt,0
huntingtons,AMPA,0
cervical_cancer,PD-1,1
covid_19,LAG3,2
adhd,FGFR,0
type2_diabetes,GPC3,1
prostate_cancer,CD38,2
liver_cancer,PD1,2
malaria,TIM3,1
fibromyalgia,CD19,1
arthritis,FGF,0
colorectal_cancer,GR,2
gout,CD38,1
gout,TGF_beta,0
chronic_pain,TOP1,1
huntingtons,GABA_B,1
coronary_artery_disease,IL-4,1
huntingtons,p53,1
colorectal_cancer,PI3K,1
hypertension,VEGF,1
epilepsy,IL-1,1
type1_diabetes,TIM3,1
copd,HER2,2
pneumonia,IL-13,0
hiv_aids,BRAF,0
celiac_disease,RAS,1
lung_cancer,VEGF,0
lung_cancer,GCGR,0
heart_failure,GIPR,0
multiple_sclerosis,ER_alpha,0
cardiomyopathy,CD30,0
leukemia,TGF_beta,2
stroke,CD19,1
insomnia,RAS,0
breast_cancer,AR,1
myocardial_infarction,D2,0
osteoporosis,NTRK,1
hyperlipidemia,5-HT2A,1
copd,c-MET,0
multiple_sclerosis,ROS1,2
asthma,VEGF,2
hiv_aids,p53,1
rheumatoid_arthritis,D2,1
malaria,NMDA,1
influenza,LAG3,1
hepatitis_b,HDAC,1
brain_cancer,HDAC,1
liver_cancer,BTK,2
bipolar_disorder,FGF,2
covid_19,SGLT2,0
insomnia,RAS,2
als,LAG3,1
colon_cancer,NTRK,1
cervical_cancer,IL-4,0
epilepsy,5-HT1A,2
lymphoma,FGFR,2
ulcerative_colitis,TIM3,0
psoriasis,CEA,2
ulcerative_colitis,ER_alpha,0
melanoma,CD38,2
asthma,LAG3,1
covid_19,IL-1,2
lupus,p53,1
cervical_cancer,GPC3,1
kidney_cancer,GABA_B,0
obesity,ERK,2
type1_diabetes,AMPA,2
stroke,BCMA,0
rheumatoid_arthritis,HER4,1
cardiomyopathy,5-HT1A,0
depression,IL-4,0
breast_cancer,MEK,1
bladder_cancer,PDGFR,2
copd,IL-6,0
stroke,5-HT1A,0
huntingtons,ER_alpha,1
migraine,GR,0
depression,PI3K,2
cardiomyopathy,MR,1
prostate_cancer,CDK6,0
pneumonia,5-HT1A,0
esophageal_cancer,CD22,1
arthritis,CD38,0
lung_cancer,AMPA,0
esophageal_cancer,NTRK,2
hypertension,CD30,1
thyroid_cancer,CD33,1
osteoporosis,PD-1,1
myocardial_infarction,CD33,0
cardiomyopathy,AKT,0
lymphoma,PD-1,0
hepatitis_c,AR,1
lupus,LAG3,2
als,MEK,1
insomnia,OX40,0
parkinsons,FGFR,1
type1_diabetes,D2,0
celiac_disease,GABA_B,2
hiv_aids,mTOR,2
esophageal_cancer,NOTCH,2
cardiomyopathy,PD-1,1
epilepsy,TGF_beta,1
copd,ER_beta,0
osteoporosis,AMPA,0
epilepsy,CD47,1
esophageal_cancer,BTK,2
multiple_sclerosis,IL-6,1
hepatitis_b,ER_alpha,0
stomach_cancer,BCMA,2
asthma,GR,0
melanoma,GIPR,2
pancreatic_cancer,FGFR,1
asthma,D2,0
asthma,c-MET,1
gout,GLP-1R,1
breast_cancer,MEK,1
stroke,IGF1R,0
celiac_disease,CD19,2
chronic_pain,HER4,0
melanoma,TGF_beta,1
migraine,FGF,1
fibromyalgia,STAT,0
cardiomyopathy,CD33,1
cervical_cancer,AP-1,2
epilepsy,DNMT,1
breast_cancer,BRAF,2
lupus,GR,1
esophageal_cancer,PI3K,2
arthritis,CD33,0
huntingtons,RET,2
melanoma,MYC,2
cervical_cancer,MEK,0
pancreatic_cancer,PDGFR,2
tuberculosis,AKT,0
influenza,CD33,0
atherosclerosis,DNMT,1
obesity,PARP,1
type1_diabetes,BRAF,1
type1_diabetes,IL-17,2
myocardial_infarction,IL-4,1
fibromyalgia,D2,0
gout,TGF_beta,1
type1_diabetes,NF-kB,1
ulcerative_colitis,GABA_B,0
heart_failure,GPC3,1
cervical_cancer,CEA,1
hepatitis_c,GPC3,0
colorectal_cancer,GIPR,2
hypertension,AR,1
hiv_aids,EGFR,1
adhd,Wnt,0
migraine,HER3,0
hyperlipidemia,CD38,1
kidney_cancer,HER3,2
als,Hedgehog,0
influenza,CTLA-4,0
alzheimers,PI3K,1
cardiomyopathy,IL-13,2
huntingtons,TOP2,1
fibromyalgia,MR,0
hypertension,EGFR,1
obesity,CDK4,1
pneumonia,IL-1,0
stomach_cancer,BTK,1
rheumatoid_arthritis,D2,2
crohns_disease,DNMT,1
depression,VEGFR,0
leukemia,CDK6,2
obesity,TIM3,0
colorectal_cancer,BRAF,1
rheumatoid_arthritis,VEGFR,2
breast_cancer,PDGFR,0
als,TIM3,0
myocardial_infarction,AKT,0
als,VEGFR,2
chronic_pain,FGFR,1
hypertension,CD47,2
als,5-HT2A,2
cardiomyopathy,PR,1
lupus,BRD4,1
stomach_cancer,ROS1,2
coronary_artery_disease,HDAC,0
copd,FGFR,0
hypertension,TOP2,1
alzheimers,AP-1,0
kidney_cancer,CD20,2
pancreatic_cancer,CD47,0
heart_failure,ALK,0
myocardial_infarction,CD47,0
insomnia,ER_alpha,2
myocardial_infarction,CD22,1
celiac_disease,ER_alpha,0
insomnia,Hedgehog,0
lung_cancer,CD30,1
bladder_cancer,AP-1,2
crohns_disease,LAG3,1
depression,p53,1
kidney_disease,TOP1,2
lymphoma,CD20,1
thyroid_cancer,c-MET,1
hyperlipidemia,BRAF,1
copd,Wnt,0
colorectal_cancer,IL-17,1
stomach_cancer,BCR-ABL,0
parkinsons,GIPR,0
liver_disease,CD33,0
myocardial_infarction,Hedgehog,0
parkinsons,NTRK,1
ovarian_cancer,TIM3,2
lung_cancer,CD38,2
hiv_aids,IL-17,1
thyroid_cancer,PI3K,2
hepatitis_b,IL-17,0
pancreatic_cancer,PDGFR,2
heart_failure,BTK,0
adhd,EGFR,2
alzheimers,IGF1R,1
colon_cancer,CD22,0
lymphoma,IGF1R,2
colon_cancer,GPC3,1
pancreatic_cancer,FGFR,1
heart_failure,BCMA,1
cervical_cancer,CD47,1
anxiety,LAG3,0
cardiomyopathy,c-MET,1
stomach_cancer,TIGIT,2
anxiety,CD47,0
bladder_cancer,FGFR,0
pancreatic_cancer,CDK4,2
sepsis,CD38,1
kidney_disease,NOTCH,1
lupus,MR,1
als,GLP-1R,0
atherosclerosis,VEGFR,0
crohns_disease,PD-1,1
obesity,LAG3,1
rheumatoid_arthritis,RAS,2
hyperlipidemia,SGLT2,1
hepatitis_b,LAG3,2
hypertension,BTK,1
chronic_pain,ERK,1
atherosclerosis,ER_alpha,0
bipolar_disorder,NMDA,1
osteoporosis,IL-13,0
migraine,VEGFR,1
hypertension,CD20,0
melanoma,TIM3,2
lung_cancer,ALK,1
coronary_artery_disease,PR,0
gout,TIGIT,0
leukemia,DNMT,1
arrhythmia,FGF,0
arthritis,ROS1,2
stomach_cancer,AP-1,0
brain_cancer,HDAC,0
malaria,GLP-1R,2
tuberculosis,DNMT,0
obesity,Hedgehog,2
breast_cancer,HER4,1
tuberculosis,CD19,1
copd,ALK,1
multiple_sclerosis,NTRK,2
arrhythmia,GPC3,0
schizophrenia,BRD4,2
brain_cancer,ER_beta,2
colorectal_cancer,CDK6,2
tuberculosis,PD1,2
type2_diabetes,HGF,1
chronic_pain,HGF,0
pneumonia,AP-1,2
myocardial_infarction,FGF,0
bipolar_disorder,CDK4,1
thyroid_cancer,CD19,2
colorectal_cancer,HDAC,1
brain_cancer,PARP,0
liver_cancer,CEA,2
coronary_artery_disease,BCR-ABL,0
melanoma,Hedgehog,0
crohns_disease,NF-kB,1
sepsis,GABA_A,1
prostate_cancer,Wnt,2
cervical_cancer,ROS1,1
melanoma,GLP-1R,1
chronic_pain,MR,0
liver_cancer,IL-1,0
ovarian_cancer,PD-1,1
arthritis,TOP1,2
atherosclerosis,FGFR,1
als,CDK4,2
kidney_cancer,IL-13,0
osteoporosis,BRAF,0
schizophrenia,mTOR,0
schizophrenia,NMDA,2
schizophrenia,CD20,0
cardiomyopathy,IL-23,1
esophageal_cancer,IL-4,0
liver_cancer,HGF,2
stroke,ERK,1
sepsis,CD22,0
arrhythmia,PR,0
sepsis,CD47,1
liver_cancer,ROS1,0
multiple_sclerosis,BCMA,2
melanoma,MEK,2
gout,AR,0
alzheimers,LAG3,0
crohns_disease,BRD4,0
influenza,IL-4,0
psoriasis,JAK,1
hyperlipidemia,D2,2
brain_cancer,LAG3,1
kidney_disease,CEA,0
pancreatic_cancer,NTRK,1
coronary_artery_disease,MEK,0
myocardial_infarction,5-HT2A,1
esophageal_cancer,BRAF,2
colorectal_cancer,HER3,2
liver_cancer,5-HT2A,0
rheumatoid_arthritis,CD47,1
liver_cancer,CD22,2
ovarian_cancer,GABA_B,1
adhd,MYC,2
chronic_pain,VEGF,1
breast_cancer,AMPA,0
epilepsy,JAK,1
covid_19,TIGIT,0
lymphoma,EGFR,2
als,IL-1,2
alzheimers,GR,2
tuberculosis,CD30,1
rheumatoid_arthritis,IL-6,1
malaria,PR,1
lung_cancer,CD22,2
rheumatoid_arthritis,LAG3,1
coronary_artery_disease,PR,1
insomnia,c-MET,1
pneumonia,VEGF,0
breast_cancer,BTK,2
cardiomyopathy,BTK,1
ovarian_cancer,CD20,1
breast_cancer,VEGF,1
arrhythmia,mTOR,0
pancreatic_cancer,ERK,1
rheumatoid_arthritis,RAS,1
esophageal_cancer,NOTCH,2
lymphoma,NMDA,1
obesity,5-HT1A,2
heart_failure,PD-1,0
hyperlipidemia,HDAC,2
pancreatic_cancer,p53,1
pancreatic_cancer,AMPA,0
copd,IL-1,2
type2_diabetes,TIGIT,0
covid_19,SGLT2,2
hepatitis_c,RET,2
epilepsy,TNF_alpha,1
asthma,SGLT2,1
myocardial_infarction,CTLA-4,1
liver_cancer,PD1,0
hepatitis_b,CD19,1
chronic_pain,PD-1,0
obesity,TOP2,2
coronary_artery_disease,HER3,0
brain_cancer,ALK,1
copd,ALK,1
bladder_cancer,SGLT2,0
chronic_pain,NF-kB,1
malaria,D2,0
heart_failure,GR,0
hiv_aids,IL-13,1
asthma,GIPR,0
colorectal_cancer,TOP2,0
cardiomyopathy,CD22,1
cervical_cancer,CD20,0
hyperlipidemia,D2,0
thyroid_cancer,IGF1R,2
fibromyalgia,IL-23,0
alzheimers,IL-6,0
bipolar_disorder,EGFR,1
multiple_sclerosis,HER2,2
psoriasis,CDK6,1
als,CTLA-4,1
arrhythmia,CD30,2
lymphoma,NTRK,2
adhd,CDK6,1
huntingtons,CD30,0
anxiety,PI3K,0
type1_diabetes,CDK4,1
melanoma,CD22,2
anxiety,HER3,0
bladder_cancer,CD33,1
stomach_cancer,EGF,2
lymphoma,RAS,2
schizophrenia,PARP,1
osteoporosis,DNMT,0
esophageal_cancer,GIPR,2
cardiomyopathy,STAT,1
leukemia,CEA,2
stroke,MEK,2
parkinsons,TIGIT,1
liver_cancer,TOP1,0
myocardial_infarction,LAG3,0
malaria,IL-1,2
autism,MYC,0
arrhythmia,PD-L1,0
ovarian_cancer,GPC3,2
ulcerative_colitis,Hedgehog,1
celiac_disease,D2,2
parkinsons,D2,1
bipolar_disorder,ERK,1
migraine,CD47,1
cervical_cancer,5-HT2A,0
als,HER4,0
liver_disease,ER_beta,1
myocardial_infarction,GLP-1R,1
ulcerative_colitis,ERK,0
influenza,TIM3,2
bipolar_disorder,SGLT2,2
pancreatic_cancer,MEK,1
liver_cancer,EGF,0
thyroid_cancer,PARP,0
influenza,JAK,0
psoriasis,CEA,2
myocardial_infarction,FGF,1
insomnia,AKT,1
adhd,NMDA,1
osteoporosis,AMPA,2
ulcerative_colitis,AP-1,1
alzheimers,BCR-ABL,1
pancreatic_cancer,GR,0
lymphoma,IL-4,0
liver_cancer,PARP,2
obesity,GR,1
rheumatoid_arthritis,PARP,2
cervical_cancer,IL-1,2
cardiomyopathy,ALK,0
als,CD38,0
liver_disease,MEK,0
brain_cancer,DNMT,1
migraine,PI3K,2
asthma,GABA_B,2
arthritis,CD22,0
kidney_disease,BRAF,0
multiple_sclerosis,GCGR,1
colon_cancer,STAT,1
chronic_pain,HER2,2
ovarian_cancer,VEGF,1
cervical_cancer,PD1,1
stomach_cancer,c-MET,1
influenza,HER3,1
stomach_cancer,ER_alpha,0
kidney_cancer,BRD4,1
hiv_aids,c-MET,1
fibromyalgia,BRAF,0
thyroid_cancer,BCMA,1
gout,NMDA,2
epilepsy,OX40,0
fibromyalgia,TGF_beta,1
type1_diabetes,HER2,2
leukemia,NF-kB,2
tuberculosis,CD20,2
heart_failure,IGF1R,0
psoriasis,TOP1,1
osteoporosis,DNMT,0
parkinsons,CEA,1
cardiomyopathy,CD47,1
cardiomyopathy,CD22,0
rheumatoid_arthritis,D2,0
sepsis,c-MET,1
malaria,GABA_B,0
bladder_cancer,Hedgehog,1
copd,IL-23,1
type1_diabetes,HER4,0
hypertension,IL-1,0
multiple_sclerosis,LAG3,1
epilepsy,IL-4,0
influenza,PDGFR,1
type2_diabetes,MEK,0
asthma,VEGFR,0
celiac_disease,ER_alpha,0
arrhythmia,SGLT2,0
autism,PI3K,0
heart_failure,TOP1,1
osteoporosis,IL-23,0
heart_failure,GCGR,1
covid_19,EGFR,0
insomnia,TIGIT,0
adhd,CD19,0
stomach_cancer,HDAC,2
hepatitis_c,CEA,0
autism,CEA,0
rheumatoid_arthritis,CD47,2
sepsis,LAG3,0
crohns_disease,GABA_B,2
covid_19,p53,1
als,TIGIT,0
sepsis,STAT,0
hiv_aids,NOTCH,0
alzheimers,ROS1,1
kidney_cancer,ER_beta,1
covid_19,CD47,1
breast_cancer,GR,2
lung_cancer,MYC,1
lymphoma,PR,0
stroke,GABA_A,0
als,Hedgehog,0
lung_cancer,PD1,1
stomach_cancer,CD22,1
type2_diabetes,VEGF,0
ovarian_cancer,ER_alpha,1
colorectal_cancer,Hedgehog,1
hiv_aids,SGLT2,1
pneumonia,IGF1R,0
brain_cancer,DNMT,2
multiple_sclerosis,VEGF,0
influenza,TOP2,1
psoriasis,PDGFR,1
lymphoma,HER4,1
pancreatic_cancer,GIPR,0
arthritis,STAT,1
lupus,TNF_alpha,0
rheumatoid_arthritis,ROS1,2
lymphoma,GLP-1R,0
als,PARP,2
colorectal_cancer,NMDA,1
type2_diabetes,GPC3,1
coronary_artery_disease,GR,1
autism,GPC3,0
arthritis,ERK,0
cervical_cancer,AR,1
adhd,MEK,0
adhd,AR,0
lymphoma,GLP-1R,1
tuberculosis,mTOR,2
copd,BTK,1
colorectal_cancer,EGF,1
bladder_cancer,GPC3,1
sepsis,Hedgehog,0
myocardial_infarction,LAG3,0
breast_cancer,GABA_B,2
leukemia,CTLA-4,2
liver_disease,STAT,0
